"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","116.10","116.55","119.00","115.35","1.61M","-0.98%"
"Apr 22, 2021","117.25","116.00","118.35","115.00","1.97M","-0.04%"
"Apr 20, 2021","117.30","118.00","120.60","116.00","3.70M","1.51%"
"Apr 19, 2021","115.55","116.00","116.80","113.30","2.85M","-3.79%"
"Apr 16, 2021","120.10","119.05","121.95","117.60","3.86M","0.38%"
"Apr 15, 2021","119.65","121.00","123.40","117.35","7.44M","3.06%"
"Apr 13, 2021","116.10","114.00","118.00","113.10","2.69M","2.29%"
"Apr 12, 2021","113.50","120.50","120.95","112.80","4.78M","-9.38%"
"Apr 09, 2021","125.25","127.80","127.80","124.05","2.16M","-2.00%"
"Apr 08, 2021","127.80","129.00","130.80","125.55","4.03M","0.12%"
"Apr 07, 2021","127.65","119.70","131.40","119.70","11.27M","6.95%"
"Apr 06, 2021","119.35","120.50","122.65","118.50","2.19M","-0.67%"
"Apr 05, 2021","120.15","120.90","122.80","117.10","2.77M","-1.15%"
"Apr 01, 2021","121.55","120.05","123.00","120.05","2.43M","1.89%"
"Mar 31, 2021","119.30","118.95","121.50","117.35","2.18M","0.21%"
"Mar 30, 2021","119.05","124.00","124.20","118.50","2.75M","-3.17%"
"Mar 26, 2021","122.95","119.00","124.70","117.00","3.69M","4.24%"
"Mar 25, 2021","117.95","116.85","120.25","112.50","4.39M","1.77%"
"Mar 24, 2021","115.90","120.70","122.75","115.00","2.42M","-5.54%"
"Mar 23, 2021","122.70","121.45","123.95","120.90","2.13M","1.57%"
"Mar 22, 2021","120.80","120.80","122.60","119.05","2.09M","0.00%"
"Mar 19, 2021","120.80","122.40","123.65","115.55","3.90M","-3.05%"
"Mar 18, 2021","124.60","128.70","130.50","121.55","3.16M","-0.91%"
"Mar 17, 2021","125.75","131.20","134.90","124.50","4.26M","-2.03%"
"Mar 16, 2021","128.35","128.80","132.70","126.95","4.78M","0.35%"
"Mar 15, 2021","127.90","132.00","132.15","125.00","2.96M","-2.59%"
"Mar 12, 2021","131.30","134.80","135.20","128.50","2.94M","-2.27%"
"Mar 10, 2021","134.35","135.55","137.00","132.50","2.78M","0.04%"
"Mar 09, 2021","134.30","134.90","139.70","131.65","9.58M","2.32%"
