"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","2,517.95","2,527.10","2,565.00","2,496.20","1.61M","0.27%"
"Apr 22, 2021","2,511.25","2,555.65","2,557.00","2,488.00","1.69M","-1.66%"
"Apr 20, 2021","2,553.65","2,600.00","2,604.70","2,528.80","1.49M","-0.71%"
"Apr 19, 2021","2,571.90","2,650.00","2,650.00","2,566.85","1.55M","-3.45%"
"Apr 16, 2021","2,663.70","2,587.60","2,693.50","2,581.70","2.76M","2.94%"
"Apr 15, 2021","2,587.70","2,590.00","2,593.55","2,537.00","1.21M","0.66%"
"Apr 13, 2021","2,570.70","2,600.00","2,626.00","2,564.30","1.20M","-1.21%"
"Apr 12, 2021","2,602.20","2,578.20","2,610.00","2,555.00","1.43M","-1.09%"
"Apr 09, 2021","2,630.80","2,635.00","2,655.00","2,610.15","1.19M","-0.75%"
"Apr 08, 2021","2,650.65","2,630.00","2,658.40","2,628.00","897.48K","0.84%"
"Apr 07, 2021","2,628.60","2,605.00","2,668.05","2,600.10","1.94M","0.65%"
"Apr 06, 2021","2,611.60","2,526.00","2,620.00","2,504.50","3.37M","4.02%"
"Apr 05, 2021","2,510.65","2,558.00","2,558.00","2,484.50","1.27M","-1.61%"
"Apr 01, 2021","2,551.75","2,532.00","2,564.55","2,532.00","1.22M","0.57%"
"Mar 31, 2021","2,537.40","2,578.05","2,582.95","2,531.00","1.62M","-1.58%"
"Mar 30, 2021","2,578.05","2,539.10","2,583.45","2,521.50","2.33M","2.91%"
"Mar 26, 2021","2,505.15","2,425.00","2,513.95","2,409.10","3.08M","4.29%"
"Mar 25, 2021","2,402.20","2,450.95","2,469.00","2,392.00","2.27M","-1.69%"
"Mar 24, 2021","2,443.55","2,410.30","2,470.00","2,410.00","4.13M","1.38%"
"Mar 23, 2021","2,410.30","2,430.00","2,433.95","2,398.20","1.75M","-0.63%"
"Mar 22, 2021","2,425.70","2,390.00","2,438.10","2,390.00","1.49M","0.60%"
"Mar 19, 2021","2,411.25","2,393.00","2,434.00","2,355.35","3.74M","0.28%"
"Mar 18, 2021","2,404.55","2,468.85","2,468.85","2,390.00","1.85M","-0.76%"
"Mar 17, 2021","2,422.95","2,460.00","2,460.00","2,411.10","1.62M","-1.85%"
"Mar 16, 2021","2,468.60","2,379.20","2,480.00","2,375.35","4.23M","4.82%"
