"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","671.35","656.00","677.50","650.90","19.17M","1.92%"
"Apr 22, 2021","658.70","641.00","660.95","634.40","19.39M","1.07%"
"Apr 20, 2021","651.75","656.00","662.00","643.00","12.30M","0.56%"
"Apr 19, 2021","648.15","650.00","655.30","631.00","17.29M","-3.15%"
"Apr 16, 2021","669.20","668.65","675.25","662.35","12.24M","0.05%"
"Apr 15, 2021","668.85","666.45","671.35","652.30","15.20M","1.19%"
"Apr 13, 2021","661.00","635.60","664.85","630.00","12.74M","4.00%"
"Apr 12, 2021","635.60","651.00","655.00","626.65","14.65M","-4.88%"
"Apr 09, 2021","668.20","679.30","686.80","667.00","12.51M","-1.97%"
"Apr 08, 2021","681.60","691.50","695.50","679.35","9.03M","-0.97%"
"Apr 07, 2021","688.25","680.50","691.90","668.40","14.43M","1.53%"
"Apr 06, 2021","677.90","690.10","693.50","675.50","12.06M","-1.07%"
"Apr 05, 2021","685.25","707.20","708.45","677.45","16.24M","-3.89%"
"Apr 01, 2021","713.00","706.30","717.00","695.55","13.09M","2.23%"
"Mar 31, 2021","697.45","696.00","703.55","692.10","14.92M","0.30%"
"Mar 30, 2021","695.35","705.00","713.30","691.00","25.97M","-0.41%"
"Mar 26, 2021","698.20","707.00","707.00","693.15","13.14M","0.52%"
"Mar 25, 2021","694.60","709.50","710.90","680.00","21.18M","-1.67%"
"Mar 24, 2021","706.40","723.25","725.00","703.30","14.38M","-3.31%"
"Mar 23, 2021","730.55","718.00","739.50","714.10","15.95M","2.00%"
"Mar 22, 2021","716.20","719.00","730.00","709.30","14.80M","-1.38%"
"Mar 19, 2021","726.25","709.00","729.35","703.50","20.38M","1.04%"
"Mar 18, 2021","718.75","736.00","743.10","707.25","12.26M","-1.26%"
"Mar 17, 2021","727.90","739.00","742.00","724.70","12.38M","-1.34%"
"Mar 16, 2021","737.75","751.00","752.00","735.95","11.36M","-0.89%"
"Mar 15, 2021","744.40","754.00","754.00","716.65","22.47M","-0.83%"
"Mar 12, 2021","750.60","772.60","776.60","745.00","16.34M","-1.33%"
"Mar 10, 2021","760.75","750.50","765.70","749.15","13.38M","2.05%"
"Mar 09, 2021","745.45","758.70","758.70","740.00","18.95M","0.29%"
"Mar 08, 2021","743.30","735.00","752.50","732.00","13.90M","1.72%"
"Mar 05, 2021","730.75","732.00","744.10","720.50","16.36M","-0.82%"
"Mar 04, 2021","736.80","731.10","751.45","731.10","16.90M","-2.27%"
"Mar 03, 2021","753.95","740.50","760.80","735.10","13.60M","3.10%"
"Mar 02, 2021","731.25","730.45","740.50","722.00","14.50M","0.37%"
"Mar 01, 2021","728.55","738.00","743.50","722.25","14.30M","0.52%"
"Feb 26, 2021","724.80","746.00","758.70","718.65","31.31M","-5.95%"
"Feb 25, 2021","770.65","765.00","783.50","762.15","26.64M","2.84%"
"Feb 24, 2021","749.40","722.00","754.90","717.05","11.21M","4.67%"
"Feb 23, 2021","715.95","732.35","734.95","712.60","16.80M","-0.49%"
"Feb 22, 2021","719.45","749.65","749.85","715.00","18.12M","-4.03%"
"Feb 19, 2021","749.65","772.90","777.20","741.35","15.63M","-3.52%"
"Feb 18, 2021","777.00","775.00","782.00","764.00","19.69M","-0.10%"
"Feb 17, 2021","777.75","774.00","785.00","764.30","16.96M","0.35%"
"Feb 16, 2021","775.05","799.00","799.00","767.00","23.97M","-2.39%"
"Feb 15, 2021","794.00","759.90","799.00","753.90","20.65M","5.81%"
"Feb 12, 2021","750.40","735.50","754.70","734.55","15.67M","1.39%"
"Feb 11, 2021","740.10","731.00","744.15","731.00","11.90M","0.72%"
"Feb 10, 2021","734.80","741.55","746.40","726.10","15.14M","-1.04%"
"Feb 09, 2021","742.50","735.75","750.00","726.20","22.31M","0.86%"
"Feb 08, 2021","736.15","726.00","747.80","726.00","15.66M","2.30%"
"Feb 05, 2021","719.60","749.00","766.30","717.00","31.12M","-3.27%"
"Feb 04, 2021","743.90","730.00","745.50","720.60","20.49M","1.38%"
"Feb 03, 2021","733.80","720.00","736.80","715.55","23.54M","2.74%"
"Feb 02, 2021","714.20","719.25","744.95","704.20","28.70M","0.68%"
"Feb 01, 2021","709.35","665.00","717.00","654.35","30.65M","7.01%"
"Jan 29, 2021","662.90","671.00","675.85","653.00","31.27M","-1.16%"
"Jan 28, 2021","670.70","622.00","674.70","616.00","64.30M","6.11%"
"Jan 27, 2021","632.10","659.95","663.80","627.40","24.46M","-3.99%"
"Jan 25, 2021","658.40","654.00","668.00","639.35","21.33M","2.16%"
"Jan 22, 2021","644.50","670.00","673.90","638.80","21.39M","-4.64%"
"Jan 21, 2021","675.85","680.75","695.00","669.75","15.85M","0.01%"
"Jan 20, 2021","675.75","664.00","680.95","664.00","9.98M","1.05%"
"Jan 19, 2021","668.75","663.55","671.95","659.75","9.01M","1.79%"
"Jan 18, 2021","657.00","674.45","675.00","651.15","13.46M","-2.65%"
"Jan 15, 2021","674.85","677.60","682.95","669.60","12.34M","-0.17%"
"Jan 14, 2021","676.00","678.50","687.80","674.65","9.34M","-1.72%"
"Jan 13, 2021","687.80","676.00","691.20","669.05","15.65M","1.79%"
"Jan 12, 2021","675.70","661.30","685.00","659.25","13.30M","1.31%"
"Jan 11, 2021","666.95","676.00","676.65","660.15","7.93M","-0.85%"
"Jan 08, 2021","672.70","678.00","678.85","668.50","12.27M","0.24%"
"Jan 07, 2021","671.10","659.00","676.50","659.00","17.89M","2.58%"
"Jan 06, 2021","654.25","662.00","667.15","649.15","20.83M","-1.54%"
"Jan 05, 2021","664.45","618.00","667.90","618.00","37.97M","6.36%"
"Jan 04, 2021","624.70","627.80","633.00","621.30","14.07M","0.14%"
"Jan 01, 2021","623.80","620.25","625.45","617.55","6.05M","0.54%"
"Dec 31, 2020","620.45","622.40","625.95","616.00","12.31M","-0.74%"
"Dec 30, 2020","625.10","632.25","634.00","618.20","10.26M","-0.81%"
"Dec 29, 2020","630.20","620.70","632.40","618.60","13.77M","2.03%"
"Dec 28, 2020","617.65","614.00","620.80","614.00","8.44M","1.22%"
"Dec 24, 2020","610.20","595.00","614.00","594.15","15.49M","3.00%"
"Dec 23, 2020","592.45","589.00","594.50","584.30","12.25M","0.46%"
"Dec 22, 2020","589.75","585.00","593.95","568.40","19.90M","1.24%"
"Dec 21, 2020","582.50","605.25","607.25","573.40","18.58M","-4.43%"
