"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","3,672.50","3,680.00","3,709.60","3,640.00","631.76K","-0.24%"
"Apr 22, 2021","3,681.40","3,594.80","3,694.00","3,573.00","1.01M","2.24%"
"Apr 20, 2021","3,600.90","3,585.35","3,624.30","3,555.10","676.56K","2.43%"
"Apr 19, 2021","3,515.55","3,525.20","3,562.00","3,447.00","601.82K","-3.28%"
"Apr 16, 2021","3,634.65","3,580.00","3,657.50","3,569.95","526.79K","1.03%"
"Apr 15, 2021","3,597.50","3,602.45","3,655.55","3,526.10","614.45K","-0.14%"
"Apr 13, 2021","3,602.45","3,569.00","3,623.70","3,515.20","412.12K","1.74%"
"Apr 12, 2021","3,541.00","3,579.50","3,599.00","3,480.05","724.23K","-3.02%"
"Apr 09, 2021","3,651.30","3,640.00","3,694.00","3,625.00","484.81K","0.04%"
"Apr 08, 2021","3,649.80","3,698.95","3,698.95","3,645.00","414.02K","-0.83%"
"Apr 07, 2021","3,680.20","3,605.00","3,693.45","3,596.25","346.98K","1.79%"
"Apr 06, 2021","3,615.50","3,639.95","3,640.00","3,602.25","501.88K","0.47%"
"Apr 05, 2021","3,598.50","3,700.05","3,740.00","3,576.05","723.57K","-3.86%"
"Apr 01, 2021","3,743.05","3,704.00","3,764.30","3,690.20","861.23K","1.97%"
"Mar 31, 2021","3,670.60","3,650.00","3,683.60","3,612.05","694.65K","0.11%"
"Mar 30, 2021","3,666.70","3,604.25","3,674.75","3,581.35","749.23K","1.85%"
"Mar 26, 2021","3,600.05","3,517.10","3,619.25","3,517.10","691.00K","2.81%"
"Mar 25, 2021","3,501.60","3,615.00","3,615.00","3,497.00","808.51K","-2.83%"
"Mar 24, 2021","3,603.55","3,661.00","3,698.00","3,590.95","507.56K","-2.03%"
"Mar 23, 2021","3,678.35","3,665.55","3,709.95","3,641.25","581.53K","0.37%"
"Mar 22, 2021","3,664.75","3,650.20","3,685.00","3,634.30","502.72K","0.40%"
"Mar 19, 2021","3,650.05","3,653.95","3,673.00","3,570.20","1.13M","-0.39%"
"Mar 18, 2021","3,664.50","3,598.00","3,692.95","3,565.00","1.29M","2.66%"
"Mar 17, 2021","3,569.60","3,650.00","3,678.00","3,555.80","773.24K","-2.32%"
"Mar 16, 2021","3,654.45","3,673.15","3,690.00","3,635.00","858.55K","-0.28%"
"Mar 15, 2021","3,664.65","3,775.00","3,775.00","3,621.05","1.02M","-2.18%"
"Mar 12, 2021","3,746.40","3,878.00","3,878.00","3,734.80","1.12M","-3.13%"
"Mar 10, 2021","3,867.55","3,820.00","3,879.00","3,802.00","545.22K","1.81%"
"Mar 09, 2021","3,798.75","3,802.20","3,829.70","3,776.00","526.07K","0.00%"
"Mar 08, 2021","3,798.75","3,848.00","3,848.00","3,770.00","818.28K","-1.40%"
"Mar 05, 2021","3,852.85","3,852.10","3,913.25","3,821.75","719.94K","-0.68%"
"Mar 04, 2021","3,879.05","3,875.00","3,927.60","3,841.00","611.77K","-0.57%"
"Mar 03, 2021","3,901.10","3,985.00","3,985.00","3,863.60","615.10K","-1.09%"
"Mar 02, 2021","3,944.05","3,822.00","3,962.15","3,781.50","735.85K","3.41%"
"Mar 01, 2021","3,814.05","3,798.70","3,858.80","3,751.00","724.59K","0.40%"
"Feb 26, 2021","3,798.70","3,910.50","3,943.10","3,773.05","732.21K","-3.70%"
"Feb 25, 2021","3,944.80","3,936.00","3,980.00","3,910.05","632.97K","0.33%"
"Feb 24, 2021","3,931.85","3,927.00","3,950.00","3,855.35","399.84K","0.50%"
"Feb 23, 2021","3,912.25","3,952.00","3,998.70","3,890.20","802.87K","-1.49%"
"Feb 22, 2021","3,971.55","4,010.00","4,040.00","3,926.85","762.31K","-0.74%"
"Feb 19, 2021","4,001.10","4,106.00","4,106.70","3,977.20","762.20K","-2.78%"
"Feb 18, 2021","4,115.45","4,200.00","4,200.00","4,102.10","440.46K","-1.21%"
"Feb 17, 2021","4,165.70","4,117.00","4,205.00","4,111.00","554.38K","0.79%"
"Feb 16, 2021","4,132.85","4,130.00","4,177.60","4,124.00","318.28K","0.26%"
"Feb 15, 2021","4,122.30","4,152.20","4,194.65","4,111.65","287.92K","-0.33%"
"Feb 12, 2021","4,136.05","4,179.00","4,195.80","4,117.00","360.06K","-1.10%"
"Feb 11, 2021","4,181.90","4,155.00","4,202.40","4,126.45","546.98K","0.73%"
"Feb 10, 2021","4,151.55","4,160.00","4,215.00","4,100.10","989.11K","-0.08%"
"Feb 09, 2021","4,154.90","4,228.40","4,238.00","4,145.00","721.34K","-1.95%"
"Feb 08, 2021","4,237.45","4,231.45","4,258.50","4,195.00","616.24K","0.15%"
"Feb 05, 2021","4,231.25","4,260.00","4,272.80","4,161.00","729.19K","0.18%"
"Feb 04, 2021","4,223.50","4,236.35","4,361.40","4,200.00","1.16M","-0.30%"
"Feb 03, 2021","4,236.35","4,205.00","4,259.15","4,160.10","681.94K","0.83%"
"Feb 02, 2021","4,201.45","4,155.80","4,271.15","4,117.25","1.17M","2.11%"
"Feb 01, 2021","4,114.70","4,064.00","4,141.00","3,975.05","745.01K","2.72%"
"Jan 29, 2021","4,005.80","4,168.00","4,205.35","3,990.00","1.41M","-3.14%"
"Jan 28, 2021","4,135.80","4,080.00","4,190.00","4,076.60","1.26M","-0.25%"
"Jan 27, 2021","4,146.35","4,133.40","4,236.65","4,108.10","2.06M","-0.54%"
"Jan 25, 2021","4,168.95","4,150.00","4,210.00","4,060.00","2.37M","1.94%"
"Jan 22, 2021","4,089.50","3,749.95","4,130.00","3,740.05","8.54M","10.43%"
"Jan 21, 2021","3,703.30","3,672.00","3,807.00","3,655.20","1.53M","1.63%"
"Jan 20, 2021","3,643.95","3,640.00","3,692.80","3,629.35","549.04K","0.08%"
"Jan 19, 2021","3,641.00","3,565.75","3,664.00","3,561.10","586.41K","2.17%"
"Jan 18, 2021","3,563.75","3,552.00","3,618.05","3,505.00","602.00K","-0.46%"
"Jan 15, 2021","3,580.30","3,588.00","3,623.00","3,541.00","684.65K","0.12%"
"Jan 14, 2021","3,576.05","3,600.00","3,658.65","3,545.00","743.85K","-0.69%"
"Jan 13, 2021","3,600.90","3,624.25","3,633.00","3,577.00","515.15K","-0.64%"
"Jan 12, 2021","3,624.25","3,611.95","3,642.80","3,558.10","863.27K","0.19%"
"Jan 11, 2021","3,617.35","3,531.00","3,634.55","3,521.00","788.46K","2.50%"
"Jan 08, 2021","3,529.15","3,469.00","3,544.60","3,438.05","675.64K","2.65%"
"Jan 07, 2021","3,437.95","3,500.00","3,507.35","3,428.25","531.36K","-0.71%"
"Jan 06, 2021","3,462.70","3,492.65","3,527.00","3,435.90","591.62K","-0.86%"
"Jan 05, 2021","3,492.65","3,500.25","3,505.00","3,475.00","561.56K","-0.85%"
"Jan 04, 2021","3,522.45","3,490.00","3,528.00","3,465.00","647.83K","1.18%"
"Jan 01, 2021","3,481.25","3,446.00","3,494.00","3,446.00","421.64K","1.08%"
"Dec 31, 2020","3,444.05","3,464.95","3,464.95","3,426.85","410.96K","-0.12%"
"Dec 30, 2020","3,448.15","3,437.20","3,472.85","3,405.25","639.18K","0.48%"
"Dec 29, 2020","3,431.55","3,433.00","3,459.90","3,420.05","682.61K","0.49%"
"Dec 28, 2020","3,414.70","3,388.00","3,422.00","3,374.00","536.95K","1.18%"
"Dec 24, 2020","3,374.75","3,318.00","3,423.55","3,316.05","1.57M","1.97%"
"Dec 23, 2020","3,309.65","3,281.00","3,318.95","3,261.00","816.59K","1.36%"
"Dec 22, 2020","3,265.30","3,245.00","3,285.00","3,172.00","825.33K","0.84%"
"Dec 21, 2020","3,238.25","3,352.50","3,355.00","3,198.50","797.76K","-3.27%"
"Dec 18, 2020","3,347.55","3,275.90","3,363.00","3,270.90","1.36M","2.36%"
"Dec 17, 2020","3,270.45","3,307.10","3,330.00","3,258.00","678.07K","-1.00%"
"Dec 16, 2020","3,303.50","3,289.00","3,308.45","3,252.00","616.70K","0.97%"
"Dec 15, 2020","3,271.65","3,284.00","3,347.20","3,262.00","746.64K","-0.53%"
"Dec 14, 2020","3,289.00","3,327.65","3,334.55","3,265.00","425.42K","-1.16%"
"Dec 11, 2020","3,327.65","3,295.60","3,337.15","3,285.55","611.15K","1.12%"
"Dec 10, 2020","3,290.85","3,306.20","3,319.95","3,272.05","469.29K","-0.47%"
"Dec 09, 2020","3,306.55","3,335.00","3,353.65","3,300.00","397.85K","-0.59%"
"Dec 08, 2020","3,326.20","3,320.00","3,384.75","3,300.55","823.35K","0.20%"
"Dec 07, 2020","3,319.55","3,311.40","3,335.00","3,267.80","481.60K","0.25%"
"Dec 04, 2020","3,311.40","3,298.30","3,344.55","3,288.20","739.11K","0.52%"
"Dec 03, 2020","3,294.40","3,368.70","3,371.20","3,281.00","965.14K","-1.31%"
"Dec 02, 2020","3,338.15","3,243.65","3,348.00","3,221.50","1.71M","2.91%"
"Dec 01, 2020","3,243.65","3,175.10","3,248.95","3,161.00","1.40M","2.21%"
"Nov 27, 2020","3,173.55","3,144.90","3,249.00","3,135.70","2.55M","1.42%"
"Nov 26, 2020","3,129.20","3,053.00","3,150.00","3,053.00","1.26M","2.55%"
"Nov 25, 2020","3,051.25","3,100.00","3,160.00","3,041.00","1.22M","-1.44%"
"Nov 24, 2020","3,095.70","3,077.00","3,122.00","3,053.00","858.93K","0.58%"
