"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","4,667.80","4,621.10","4,759.80","4,610.50","2.73M","-0.45%"
"Apr 22, 2021","4,688.70","4,550.00","4,714.00","4,505.75","2.56M","1.63%"
"Apr 20, 2021","4,613.65","4,563.00","4,699.00","4,555.20","3.39M","2.99%"
"Apr 19, 2021","4,479.60","4,450.00","4,504.00","4,362.00","3.43M","-2.97%"
"Apr 16, 2021","4,616.60","4,661.00","4,690.00","4,590.00","2.14M","-0.94%"
"Apr 15, 2021","4,660.30","4,708.10","4,750.00","4,566.10","2.90M","-1.45%"
"Apr 13, 2021","4,728.75","4,535.10","4,774.90","4,514.05","3.18M","4.83%"
"Apr 12, 2021","4,511.00","4,740.00","4,740.00","4,400.00","4.50M","-7.42%"
"Apr 09, 2021","4,872.30","5,000.00","5,010.00","4,845.00","2.90M","-3.13%"
"Apr 08, 2021","5,029.50","5,100.00","5,115.00","5,015.00","1.41M","-0.94%"
"Apr 07, 2021","5,077.10","4,980.00","5,109.00","4,940.00","2.40M","1.68%"
"Apr 06, 2021","4,993.10","5,050.00","5,059.45","4,952.60","2.07M","0.62%"
"Apr 05, 2021","4,962.50","5,259.00","5,259.00","4,920.60","3.74M","-5.87%"
"Apr 01, 2021","5,272.15","5,210.00","5,288.50","5,161.95","2.15M","2.37%"
"Mar 31, 2021","5,149.85","5,185.00","5,218.80","5,122.95","1.85M","-0.84%"
"Mar 30, 2021","5,193.55","5,234.85","5,260.00","5,150.00","1.85M","0.20%"
"Mar 26, 2021","5,183.05","5,170.00","5,248.00","5,135.00","2.35M","1.19%"
"Mar 25, 2021","5,122.20","5,280.00","5,300.00","5,103.15","2.34M","-2.81%"
"Mar 24, 2021","5,270.30","5,374.00","5,374.00","5,260.00","1.74M","-2.02%"
"Mar 23, 2021","5,378.80","5,410.00","5,445.00","5,350.00","1.85M","-0.20%"
"Mar 22, 2021","5,389.35","5,446.50","5,497.00","5,337.00","1.94M","-1.17%"
"Mar 19, 2021","5,453.25","5,316.00","5,479.00","5,190.05","3.22M","1.52%"
"Mar 18, 2021","5,371.85","5,423.00","5,545.00","5,305.00","2.34M","0.22%"
"Mar 17, 2021","5,359.80","5,460.00","5,460.40","5,344.45","1.13M","-1.76%"
"Mar 16, 2021","5,455.95","5,488.45","5,507.00","5,420.00","1.56M","0.31%"
"Mar 15, 2021","5,439.05","5,571.05","5,585.65","5,350.55","2.09M","-2.14%"
"Mar 12, 2021","5,557.85","5,600.00","5,670.00","5,521.00","2.51M","0.23%"
"Mar 10, 2021","5,545.05","5,440.00","5,561.00","5,440.00","2.19M","2.40%"
"Mar 09, 2021","5,415.05","5,371.00","5,445.00","5,335.00","1.81M","1.77%"
"Mar 08, 2021","5,320.65","5,469.00","5,493.95","5,311.00","1.72M","-2.28%"
"Mar 05, 2021","5,444.90","5,440.00","5,519.75","5,402.10","2.08M","-0.75%"
"Mar 04, 2021","5,485.90","5,430.00","5,567.15","5,401.00","2.23M","-1.03%"
"Mar 03, 2021","5,542.90","5,364.15","5,573.35","5,340.10","2.25M","4.26%"
"Mar 02, 2021","5,316.30","5,300.00","5,410.00","5,262.05","2.21M","0.94%"
"Mar 01, 2021","5,266.80","5,315.00","5,369.90","5,195.00","2.03M","0.04%"
"Feb 26, 2021","5,264.90","5,430.00","5,454.00","5,221.00","3.71M","-4.79%"
"Feb 25, 2021","5,529.95","5,601.00","5,619.95","5,511.35","1.58M","-0.59%"
"Feb 24, 2021","5,562.90","5,444.00","5,578.90","5,383.00","1.91M","3.33%"
"Feb 23, 2021","5,383.70","5,420.00","5,504.65","5,350.00","2.19M","0.13%"
"Feb 22, 2021","5,376.85","5,480.00","5,538.70","5,334.75","2.00M","-2.20%"
"Feb 19, 2021","5,497.95","5,560.00","5,621.95","5,425.00","2.74M","-1.18%"
"Feb 18, 2021","5,563.35","5,699.00","5,714.75","5,522.20","2.32M","-2.49%"
"Feb 17, 2021","5,705.15","5,730.00","5,799.00","5,670.00","2.35M","-0.96%"
"Feb 16, 2021","5,760.25","5,791.40","5,822.20","5,690.30","2.13M","-0.34%"
"Feb 15, 2021","5,779.85","5,605.35","5,799.00","5,600.00","3.17M","3.63%"
"Feb 12, 2021","5,577.45","5,570.00","5,618.00","5,532.05","1.63M","0.19%"
"Feb 11, 2021","5,567.05","5,470.00","5,588.00","5,455.75","2.03M","1.66%"
"Feb 10, 2021","5,475.90","5,434.70","5,502.35","5,395.00","2.64M","1.40%"
"Feb 09, 2021","5,400.30","5,537.50","5,539.00","5,382.60","2.26M","-1.77%"
"Feb 08, 2021","5,497.70","5,542.00","5,665.00","5,475.30","2.80M","-0.74%"
"Feb 05, 2021","5,538.55","5,526.00","5,627.00","5,470.00","4.44M","0.61%"
"Feb 04, 2021","5,504.85","5,214.00","5,543.00","5,206.05","5.33M","4.95%"
"Feb 03, 2021","5,245.10","5,218.60","5,270.00","5,140.00","2.65M","1.39%"
"Feb 02, 2021","5,173.20","5,100.00","5,337.95","5,094.90","4.35M","2.27%"
"Feb 01, 2021","5,058.60","4,775.00","5,080.00","4,666.50","4.29M","6.84%"
"Jan 29, 2021","4,734.55","4,886.70","4,950.00","4,707.10","4.26M","-1.57%"
