"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","423.05","417.30","424.95","416.00","23.84M","1.12%"
"Apr 22, 2021","418.35","405.00","421.30","403.50","7.81M","2.51%"
"Apr 20, 2021","408.10","411.90","414.45","406.10","3.51M","-0.16%"
"Apr 19, 2021","408.75","405.00","412.40","400.00","5.63M","-1.22%"
"Apr 16, 2021","413.80","405.00","422.95","404.30","11.15M","2.21%"
"Apr 15, 2021","404.85","409.00","416.40","403.30","7.22M","-1.11%"
"Apr 13, 2021","409.40","405.00","412.50","402.20","4.03M","1.35%"
"Apr 12, 2021","403.95","417.95","419.40","402.00","6.18M","-5.09%"
"Apr 09, 2021","425.60","430.00","432.25","424.50","4.09M","-1.15%"
"Apr 08, 2021","430.55","429.55","436.00","429.30","3.35M","0.55%"
"Apr 07, 2021","428.20","429.00","431.50","427.50","3.72M","0.02%"
"Apr 06, 2021","428.10","430.00","433.70","424.30","4.60M","0.01%"
"Apr 05, 2021","428.05","434.10","437.00","421.10","5.76M","-2.14%"
"Apr 01, 2021","437.40","430.60","439.95","428.05","4.58M","2.21%"
"Mar 31, 2021","427.95","430.50","431.15","425.50","5.01M","-0.66%"
"Mar 30, 2021","430.80","428.90","433.90","421.50","8.58M","1.56%"
"Mar 26, 2021","424.20","425.90","431.80","421.40","9.60M","1.25%"
"Mar 25, 2021","418.95","426.45","427.20","415.10","10.45M","-2.56%"
"Mar 24, 2021","429.95","434.95","436.50","428.65","5.16M","-1.50%"
"Mar 23, 2021","436.50","441.90","442.20","435.10","8.54M","-0.65%"
"Mar 22, 2021","439.35","438.25","442.00","434.35","13.67M","1.48%"
"Mar 19, 2021","432.95","426.00","438.40","419.20","13.31M","1.42%"
"Mar 18, 2021","426.90","435.00","438.50","423.80","13.18M","-1.19%"
"Mar 17, 2021","432.05","442.00","446.70","430.10","28.85M","-4.80%"
"Mar 16, 2021","453.85","464.55","465.60","452.05","15.39M","-1.45%"
"Mar 15, 2021","460.55","464.45","465.00","451.30","16.92M","0.66%"
"Mar 12, 2021","457.55","457.00","464.00","451.00","26.40M","2.70%"
"Mar 10, 2021","445.50","451.00","451.90","442.05","11.75M","-0.09%"
"Mar 09, 2021","445.90","446.20","454.00","437.35","199.79M","-4.46%"
"Mar 08, 2021","466.70","462.00","472.95","461.80","5.67M","1.06%"
"Mar 05, 2021","461.80","463.00","474.45","458.10","8.90M","-0.45%"
"Mar 04, 2021","463.90","462.00","472.65","459.25","6.28M","-0.53%"
"Mar 03, 2021","466.35","480.00","480.00","462.30","8.84M","-0.57%"
"Mar 02, 2021","469.00","474.50","482.40","462.00","26.60M","3.02%"
"Mar 01, 2021","455.25","456.00","463.85","450.10","6.09M","1.20%"
"Feb 26, 2021","449.85","454.95","466.35","440.25","18.44M","-2.53%"
"Feb 25, 2021","461.55","441.95","467.80","441.85","18.81M","5.21%"
"Feb 24, 2021","438.70","440.00","445.00","436.10","5.99M","0.79%"
"Feb 23, 2021","435.25","428.00","442.70","425.80","14.40M","3.01%"
"Feb 22, 2021","422.55","429.30","435.25","418.00","9.69M","-1.73%"
"Feb 19, 2021","430.00","437.00","444.80","423.50","24.45M","-0.51%"
"Feb 18, 2021","432.20","415.35","434.35","410.70","20.76M","4.98%"
"Feb 17, 2021","411.70","404.50","413.90","401.55","8.59M","-1.50%"
"Feb 16, 2021","417.95","417.80","422.60","416.20","5.40M","-0.25%"
"Feb 15, 2021","419.00","422.80","424.90","417.00","5.52M","0.22%"
"Feb 12, 2021","418.10","423.00","425.85","414.60","5.47M","-0.91%"
"Feb 11, 2021","421.95","415.00","422.85","414.30","5.73M","1.48%"
"Feb 10, 2021","415.80","422.20","424.95","409.05","9.58M","-0.85%"
"Feb 09, 2021","419.35","431.00","438.05","416.65","22.58M","-0.17%"
"Feb 08, 2021","420.05","420.00","424.40","416.00","6.32M","1.22%"
"Feb 05, 2021","415.00","420.50","422.30","413.10","3.86M","-0.85%"
"Feb 04, 2021","418.55","413.60","422.50","410.55","7.60M","0.88%"
"Feb 03, 2021","414.90","405.00","417.00","402.35","8.51M","1.69%"
"Feb 02, 2021","408.00","396.75","411.00","393.25","8.88M","3.82%"
"Feb 01, 2021","393.00","388.00","397.90","380.60","13.94M","2.45%"
"Jan 29, 2021","383.60","389.90","396.55","381.35","8.26M","-0.18%"
"Jan 28, 2021","384.30","377.00","389.70","376.25","8.16M","0.97%"
"Jan 27, 2021","380.60","385.55","390.25","379.75","6.03M","-1.73%"
"Jan 25, 2021","387.30","400.00","402.85","384.70","6.03M","-2.21%"
"Jan 22, 2021","396.05","409.00","412.95","394.95","7.70M","-3.00%"
"Jan 21, 2021","408.30","415.00","423.00","405.10","8.77M","-1.34%"
"Jan 20, 2021","413.85","415.00","416.90","409.25","4.94M","0.10%"
"Jan 19, 2021","413.45","413.00","418.00","408.25","5.55M","0.95%"
"Jan 18, 2021","409.55","414.00","416.90","402.00","8.39M","-1.22%"
"Jan 15, 2021","414.60","429.40","429.50","411.30","8.83M","-2.84%"
"Jan 14, 2021","426.70","412.00","430.00","411.00","12.60M","3.59%"
"Jan 13, 2021","411.90","406.00","425.00","404.65","21.18M","2.32%"
"Jan 12, 2021","402.55","401.50","409.00","397.45","8.33M","0.20%"
"Jan 11, 2021","401.75","404.00","404.75","395.35","6.83M","0.40%"
"Jan 08, 2021","400.15","395.00","406.00","394.25","12.38M","2.03%"
"Jan 07, 2021","392.20","391.00","395.00","387.60","6.56M","1.27%"
"Jan 06, 2021","387.30","392.60","396.95","382.55","8.07M","-1.20%"
"Jan 05, 2021","392.00","394.70","394.75","389.00","4.53M","-0.85%"
"Jan 04, 2021","395.35","384.90","396.90","384.50","8.24M","3.51%"
"Jan 01, 2021","381.95","381.10","384.00","380.40","2.86M","0.22%"
"Dec 31, 2020","381.10","382.00","384.55","379.55","4.30M","-0.46%"
"Dec 30, 2020","382.85","382.00","384.20","378.80","3.09M","0.35%"
"Dec 29, 2020","381.50","384.50","385.60","377.65","4.02M","-0.33%"
"Dec 28, 2020","382.75","380.00","384.50","378.50","4.90M","1.38%"
"Dec 24, 2020","377.55","376.40","381.25","375.55","6.07M","0.84%"
"Dec 23, 2020","374.40","373.00","377.20","369.40","5.98M","0.51%"
"Dec 22, 2020","372.50","367.35","374.60","357.00","10.09M","1.40%"
"Dec 21, 2020","367.35","393.00","393.00","357.65","12.72M","-6.73%"
