"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","3,650.30","3,755.00","3,760.90","3,640.50","491.83K","-2.71%"
"Apr 22, 2021","3,752.00","3,725.10","3,766.00","3,692.15","424.37K","0.59%"
"Apr 20, 2021","3,729.90","3,731.90","3,752.75","3,690.10","331.48K","-0.34%"
"Apr 19, 2021","3,742.80","3,685.00","3,755.00","3,653.05","560.40K","1.25%"
"Apr 16, 2021","3,696.50","3,695.50","3,733.95","3,676.55","251.74K","0.10%"
"Apr 15, 2021","3,692.70","3,751.00","3,799.90","3,673.00","494.46K","-1.42%"
"Apr 13, 2021","3,746.00","3,814.10","3,847.00","3,729.05","411.66K","-1.75%"
"Apr 12, 2021","3,812.75","3,777.95","3,850.00","3,750.00","1.11M","0.40%"
"Apr 09, 2021","3,797.70","3,816.75","3,843.70","3,790.00","526.93K","-0.50%"
"Apr 08, 2021","3,816.75","3,780.00","3,834.00","3,761.05","613.39K","0.22%"
"Apr 07, 2021","3,808.55","3,732.00","3,820.00","3,711.55","633.68K","2.09%"
"Apr 06, 2021","3,730.60","3,708.00","3,736.40","3,680.00","462.35K","0.82%"
"Apr 05, 2021","3,700.35","3,635.00","3,720.00","3,630.00","807.94K","2.26%"
"Apr 01, 2021","3,618.50","3,635.00","3,670.00","3,610.25","460.66K","-0.18%"
"Mar 31, 2021","3,625.05","3,616.00","3,655.00","3,592.50","441.58K","0.25%"
"Mar 30, 2021","3,616.00","3,514.00","3,625.00","3,510.05","567.45K","3.18%"
"Mar 26, 2021","3,504.60","3,455.35","3,515.00","3,455.35","273.03K","1.76%"
"Mar 25, 2021","3,443.85","3,535.00","3,564.80","3,429.00","486.52K","-2.65%"
"Mar 24, 2021","3,537.75","3,536.00","3,568.20","3,522.00","480.66K","-0.86%"
"Mar 23, 2021","3,568.40","3,570.00","3,578.00","3,525.00","461.05K","0.11%"
"Mar 22, 2021","3,564.40","3,440.10","3,570.00","3,440.10","820.05K","2.82%"
"Mar 19, 2021","3,466.60","3,424.60","3,494.85","3,379.00","1.31M","0.78%"
"Mar 18, 2021","3,439.65","3,480.00","3,487.90","3,427.40","430.17K","-0.81%"
"Mar 17, 2021","3,467.90","3,488.00","3,499.00","3,446.30","378.14K","-0.61%"
"Mar 16, 2021","3,489.10","3,462.60","3,500.00","3,456.05","383.10K","1.12%"
"Mar 15, 2021","3,450.40","3,443.60","3,456.55","3,399.00","311.08K","0.47%"
"Mar 12, 2021","3,434.25","3,491.90","3,493.85","3,425.00","344.21K","-1.32%"
"Mar 10, 2021","3,480.35","3,451.90","3,489.00","3,438.50","270.94K","1.56%"
"Mar 09, 2021","3,426.75","3,473.50","3,489.15","3,397.35","589.56K","-1.05%"
"Mar 08, 2021","3,463.20","3,493.60","3,508.95","3,451.00","463.98K","-0.82%"
