"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","522.60","529.00","532.45","519.10","6.99M","-1.55%"
"Apr 22, 2021","530.85","530.00","533.40","526.05","6.55M","0.12%"
"Apr 20, 2021","530.20","529.00","537.00","525.90","7.23M","0.71%"
"Apr 19, 2021","526.45","532.25","535.00","523.25","7.23M","-2.64%"
"Apr 16, 2021","540.75","540.05","544.15","538.00","6.16M","0.26%"
"Apr 15, 2021","539.35","540.00","546.15","530.25","9.81M","0.60%"
"Apr 13, 2021","536.15","526.40","540.00","523.10","6.54M","2.62%"
"Apr 12, 2021","522.45","537.55","538.85","518.50","9.69M","-4.18%"
"Apr 09, 2021","545.25","539.50","549.75","536.50","11.43M","0.41%"
"Apr 08, 2021","543.00","546.80","548.55","540.50","11.16M","0.26%"
"Apr 07, 2021","541.60","537.00","546.90","535.25","21.00M","1.77%"
"Apr 06, 2021","532.20","528.50","537.85","524.55","12.87M","0.75%"
"Apr 05, 2021","528.25","520.80","529.00","514.60","9.20M","1.43%"
"Apr 01, 2021","520.80","519.95","523.90","514.55","6.98M","0.68%"
"Mar 31, 2021","517.30","522.35","525.90","516.25","7.57M","-0.81%"
"Mar 30, 2021","521.50","527.80","527.90","516.25","10.49M","-0.19%"
"Mar 26, 2021","522.50","512.10","524.90","510.60","10.94M","2.90%"
"Mar 25, 2021","507.75","523.40","523.65","499.55","17.25M","-3.04%"
"Mar 24, 2021","523.65","528.00","533.45","521.50","10.60M","-1.06%"
"Mar 23, 2021","529.25","529.70","532.45","522.15","14.96M","0.24%"
"Mar 22, 2021","528.00","533.05","534.00","523.00","13.33M","-0.37%"
"Mar 19, 2021","529.95","528.00","534.75","525.50","48.68M","0.52%"
"Mar 18, 2021","527.20","529.85","532.20","515.35","12.24M","0.82%"
"Mar 17, 2021","522.90","528.80","531.00","519.00","8.33M","-1.21%"
"Mar 16, 2021","529.30","524.00","533.75","524.00","13.01M","1.23%"
"Mar 15, 2021","522.85","527.80","527.80","516.40","10.68M","-0.26%"
"Mar 12, 2021","524.20","530.55","532.75","521.55","11.41M","-0.31%"
"Mar 10, 2021","525.85","520.20","530.50","516.35","18.66M","0.79%"
"Mar 09, 2021","521.75","530.10","532.00","514.30","19.81M","-0.75%"
"Mar 08, 2021","525.70","531.00","535.45","524.75","15.01M","-1.33%"
"Mar 05, 2021","532.80","535.00","538.50","524.40","16.35M","-1.26%"
"Mar 04, 2021","539.60","540.00","546.00","538.00","17.35M","-1.23%"
"Mar 03, 2021","546.30","548.75","550.75","540.00","24.21M","0.94%"
"Mar 02, 2021","541.20","540.50","544.00","528.85","30.06M","1.69%"
"Mar 01, 2021","532.20","558.00","559.10","521.00","54.08M","-4.33%"
"Feb 26, 2021","556.30","574.50","585.95","551.75","194.89M","-3.95%"
"Feb 25, 2021","579.15","579.90","584.45","577.05","15.93M","1.08%"
"Feb 24, 2021","572.95","568.10","574.10","565.20","8.73M","1.31%"
