"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","935.60","944.35","952.85","922.75","7.97M","-0.93%"
"Apr 22, 2021","944.35","958.80","963.15","938.85","8.52M","-0.52%"
"Apr 20, 2021","949.30","965.10","966.35","941.10","10.21M","0.32%"
"Apr 19, 2021","946.30","945.25","955.00","924.00","17.81M","0.88%"
"Apr 16, 2021","938.05","919.75","944.25","910.90","13.75M","2.61%"
"Apr 15, 2021","914.20","898.80","925.40","883.90","13.22M","3.28%"
"Apr 13, 2021","885.20","921.95","932.60","878.30","11.67M","-1.91%"
"Apr 12, 2021","902.40","890.00","940.00","879.15","30.14M","2.19%"
"Apr 09, 2021","883.05","840.90","892.30","836.65","11.19M","4.88%"
"Apr 08, 2021","842.00","843.00","850.45","838.40","2.46M","0.14%"
"Apr 07, 2021","840.85","836.15","844.90","830.25","2.40M","0.56%"
"Apr 06, 2021","836.15","824.00","845.00","821.85","4.57M","2.00%"
"Apr 05, 2021","819.75","825.00","827.00","806.10","2.92M","0.18%"
"Apr 01, 2021","818.30","819.50","824.00","811.60","1.91M","0.39%"
"Mar 31, 2021","815.10","811.00","823.95","805.00","3.08M","0.36%"
"Mar 30, 2021","812.20","790.25","815.90","790.25","4.45M","3.14%"
"Mar 26, 2021","787.45","791.00","799.00","781.25","2.93M","0.03%"
"Mar 25, 2021","787.25","796.90","802.30","783.30","5.29M","-0.72%"
"Mar 24, 2021","792.95","777.80","798.70","772.65","6.90M","2.17%"
"Mar 23, 2021","776.10","775.00","779.40","768.40","2.12M","0.42%"
"Mar 22, 2021","772.85","762.00","784.60","758.70","3.56M","1.60%"
"Mar 19, 2021","760.65","751.00","767.25","738.10","5.26M","0.73%"
"Mar 18, 2021","755.15","776.00","778.45","750.85","2.89M","-2.20%"
"Mar 17, 2021","772.15","794.80","794.80","770.00","3.25M","-2.54%"
"Mar 16, 2021","792.30","805.10","808.50","787.00","3.67M","-1.64%"
"Mar 15, 2021","805.50","807.90","808.90","790.00","2.65M","-0.06%"
"Mar 12, 2021","805.95","816.50","818.70","802.00","2.08M","-0.79%"
"Mar 10, 2021","812.40","806.00","814.75","801.00","2.51M","1.93%"
"Mar 09, 2021","797.00","812.60","816.70","792.10","2.78M","-1.51%"
"Mar 08, 2021","809.25","807.95","819.00","806.20","2.92M","0.51%"
"Mar 05, 2021","805.15","806.50","812.00","800.25","3.83M","-0.20%"
"Mar 04, 2021","806.75","807.40","818.00","803.70","3.64M","-0.71%"
"Mar 03, 2021","812.50","817.95","818.15","807.60","3.27M","0.09%"
"Mar 02, 2021","811.80","792.60","815.00","790.80","4.28M","2.79%"
"Mar 01, 2021","789.80","795.00","800.50","782.00","2.75M","0.35%"
"Feb 26, 2021","787.05","805.00","820.00","780.00","7.55M","-2.73%"
"Feb 25, 2021","809.15","795.00","814.00","790.45","5.48M","2.55%"
"Feb 24, 2021","789.05","794.00","798.10","776.25","1.59M","-0.24%"
"Feb 23, 2021","790.95","795.00","803.15","788.40","3.26M","-0.19%"
"Feb 22, 2021","792.45","811.40","817.50","786.05","4.09M","-1.85%"
"Feb 19, 2021","807.35","823.80","825.45","799.00","3.83M","-2.19%"
"Feb 18, 2021","825.45","835.00","843.45","822.50","4.11M","-1.23%"
"Feb 17, 2021","835.70","849.45","854.70","833.00","2.54M","-1.49%"
"Feb 16, 2021","848.35","850.00","852.25","841.25","2.81M","0.48%"
"Feb 15, 2021","844.30","850.10","856.60","842.00","2.53M","-0.50%"
"Feb 12, 2021","848.55","859.00","864.35","845.50","2.47M","-1.31%"
"Feb 11, 2021","859.80","868.00","874.90","856.00","5.35M","-0.42%"
"Feb 10, 2021","863.40","847.60","867.00","841.00","5.67M","2.57%"
"Feb 09, 2021","841.75","848.00","856.85","839.00","4.20M","-0.65%"
"Feb 08, 2021","847.25","852.00","859.25","841.05","4.24M","-0.05%"
"Feb 05, 2021","847.70","839.60","854.90","830.50","7.38M","1.59%"
"Feb 04, 2021","834.45","847.55","856.50","832.60","4.64M","-1.74%"
"Feb 03, 2021","849.25","826.00","878.90","824.20","15.67M","3.37%"
"Feb 02, 2021","821.60","807.00","826.35","801.50","8.49M","1.88%"
"Feb 01, 2021","806.40","815.00","831.00","779.95","13.86M","-2.36%"
"Jan 29, 2021","825.90","847.95","850.85","820.75","7.19M","-1.90%"
"Jan 28, 2021","841.90","835.50","848.85","825.70","4.49M","-0.07%"
"Jan 27, 2021","842.50","839.90","856.45","825.20","7.41M","0.68%"
"Jan 25, 2021","836.80","813.00","857.00","808.25","10.70M","3.53%"
"Jan 22, 2021","808.30","815.80","822.50","798.25","3.88M","-0.55%"
"Jan 21, 2021","812.75","835.00","839.30","809.00","3.33M","-2.41%"
"Jan 20, 2021","832.80","822.50","834.90","822.30","3.06M","1.26%"
"Jan 19, 2021","822.45","802.50","825.40","802.50","3.79M","2.58%"
"Jan 18, 2021","801.75","822.00","826.65","796.20","3.74M","-2.66%"
"Jan 15, 2021","823.70","839.00","844.90","821.00","3.14M","-2.05%"
"Jan 14, 2021","840.90","841.70","847.55","829.00","3.65M","-0.10%"
"Jan 13, 2021","841.70","847.35","852.00","832.50","3.60M","-0.17%"
"Jan 12, 2021","843.15","860.00","864.60","841.00","4.34M","-1.60%"
"Jan 11, 2021","856.85","839.00","860.00","832.75","5.33M","2.16%"
"Jan 08, 2021","838.70","830.70","846.20","827.40","5.07M","1.47%"
"Jan 07, 2021","826.55","830.00","830.45","818.00","2.88M","0.21%"
"Jan 06, 2021","824.80","829.00","834.40","815.25","3.32M","-0.30%"
"Jan 05, 2021","827.25","832.25","843.75","825.30","4.56M","-0.60%"
"Jan 04, 2021","832.25","831.00","837.30","826.55","3.49M","0.68%"
"Jan 01, 2021","826.60","822.80","828.95","820.65","2.47M","0.81%"
"Dec 31, 2020","819.95","824.00","833.35","816.40","4.84M","-0.47%"
"Dec 30, 2020","823.80","830.00","830.00","816.05","2.72M","-0.50%"
"Dec 29, 2020","827.95","830.15","835.75","817.50","3.31M","-0.27%"
"Dec 28, 2020","830.15","837.60","839.00","825.20","4.81M","-0.37%"
"Dec 24, 2020","833.20","828.80","834.90","815.30","7.29M","1.04%"
"Dec 23, 2020","824.65","796.35","827.00","792.25","8.52M","3.73%"
"Dec 22, 2020","795.00","782.00","798.00","761.10","6.14M","2.12%"
"Dec 21, 2020","778.50","793.00","816.90","760.00","14.47M","-1.88%"
"Dec 18, 2020","793.45","784.25","796.00","781.50","6.49M","1.31%"
"Dec 17, 2020","783.20","790.75","794.85","781.10","3.98M","-0.46%"
"Dec 16, 2020","786.80","790.35","790.35","782.30","3.82M","0.66%"
"Dec 15, 2020","781.65","789.30","798.00","779.25","8.25M","-0.97%"
"Dec 14, 2020","789.30","778.30","793.30","776.35","19.79M","4.43%"
"Dec 11, 2020","755.85","764.00","766.10","753.00","3.18M","-0.90%"
"Dec 10, 2020","762.75","763.00","767.70","755.10","3.68M","0.05%"
"Dec 09, 2020","762.40","769.90","773.90","759.95","4.05M","-0.47%"
"Dec 08, 2020","766.00","777.00","779.45","757.80","4.17M","-0.92%"
"Dec 07, 2020","773.15","766.95","782.50","766.00","6.78M","0.81%"
"Dec 04, 2020","766.95","763.00","770.60","757.00","5.42M","0.63%"
"Dec 03, 2020","762.15","760.00","764.80","756.05","3.77M","0.50%"
"Dec 02, 2020","758.35","758.00","761.00","751.15","3.98M","0.36%"
"Dec 01, 2020","755.60","753.00","760.00","746.15","6.24M","1.34%"
"Nov 27, 2020","745.60","741.00","749.00","735.00","12.78M","0.93%"
"Nov 26, 2020","738.70","734.00","741.00","726.50","6.09M","0.96%"
"Nov 25, 2020","731.65","750.10","754.55","728.20","6.06M","-2.24%"
"Nov 24, 2020","748.45","748.30","752.00","741.60","5.47M","0.29%"
"Nov 23, 2020","746.30","741.65","758.05","739.40","8.69M","0.86%"
"Nov 20, 2020","739.90","742.00","748.45","732.25","5.39M","-0.30%"
"Nov 19, 2020","742.10","742.55","751.90","737.95","5.80M","-0.11%"
"Nov 18, 2020","742.95","747.30","752.00","733.50","7.19M","0.05%"
"Nov 17, 2020","742.55","747.40","751.90","734.00","7.31M","-0.28%"
"Nov 13, 2020","744.65","742.50","751.00","740.15","6.96M","0.67%"
"Nov 12, 2020","739.70","742.40","758.85","733.50","10.42M","-0.36%"
"Nov 11, 2020","742.35","727.00","745.50","718.60","18.89M","3.49%"
"Nov 10, 2020","717.30","769.80","769.80","706.50","22.56M","-6.01%"
"Nov 09, 2020","763.20","795.10","804.00","752.30","21.18M","-3.39%"
"Nov 06, 2020","789.95","797.40","802.00","786.55","7.77M","-0.45%"
"Nov 05, 2020","793.50","786.00","796.10","778.30","6.66M","1.58%"
"Nov 04, 2020","781.15","757.80","783.80","757.20","9.04M","2.88%"
"Nov 03, 2020","759.30","756.10","770.55","750.75","5.39M","1.07%"
"Nov 02, 2020","751.25","757.50","762.35","744.40","3.27M","-0.43%"
"Oct 30, 2020","754.50","765.70","767.50","746.00","4.13M","-1.02%"
"Oct 29, 2020","762.30","766.10","774.65","757.00","6.08M","-0.39%"
"Oct 28, 2020","765.25","771.40","780.00","762.15","7.05M","-0.65%"
"Oct 27, 2020","770.25","750.00","773.55","747.00","7.00M","3.09%"
"Oct 26, 2020","747.15","761.20","763.75","742.30","4.67M","-1.37%"
"Oct 23, 2020","757.55","761.25","774.65","755.00","8.52M","0.01%"
"Oct 22, 2020","757.50","765.00","769.85","744.00","8.43M","-1.25%"
"Oct 21, 2020","767.10","771.80","771.80","756.50","6.93M","0.37%"
"Oct 20, 2020","764.30","765.00","774.70","756.30","6.03M","0.04%"
"Oct 19, 2020","764.00","783.00","784.10","762.15","4.35M","-2.35%"
"Oct 16, 2020","782.35","766.95","787.50","758.40","9.10M","1.83%"
"Oct 15, 2020","768.30","780.65","788.00","762.90","6.29M","-1.69%"
"Oct 14, 2020","781.50","788.80","794.55","766.80","8.68M","-0.72%"
"Oct 13, 2020","787.15","810.00","829.05","778.50","13.96M","-3.26%"
"Oct 12, 2020","813.65","805.00","819.75","800.15","6.61M","1.31%"
"Oct 09, 2020","803.15","813.00","825.00","800.35","11.67M","-1.02%"
"Oct 08, 2020","811.45","775.00","815.60","774.90","12.02M","4.89%"
"Oct 07, 2020","773.60","780.00","790.65","771.00","6.09M","-0.86%"
"Oct 06, 2020","780.35","782.00","788.00","777.00","4.79M","0.22%"
"Oct 05, 2020","778.65","776.00","784.05","762.05","6.80M","0.73%"
"Oct 01, 2020","773.00","779.80","781.00","765.75","5.85M","-0.22%"
"Sep 30, 2020","774.70","762.35","794.90","761.05","14.33M","1.62%"
"Sep 29, 2020","762.35","777.60","786.00","759.05","6.58M","-1.61%"
"Sep 28, 2020","774.80","772.10","778.00","755.60","9.29M","0.61%"
"Sep 25, 2020","770.10","752.00","777.00","740.40","13.37M","5.00%"
"Sep 24, 2020","733.45","764.45","766.65","730.00","7.12M","-4.42%"
"Sep 23, 2020","767.40","783.95","784.00","761.80","6.24M","-1.32%"
"Sep 22, 2020","777.65","777.05","787.95","755.15","14.48M","1.24%"
"Sep 21, 2020","768.10","806.25","811.95","762.00","12.58M","-4.73%"
"Sep 18, 2020","806.25","780.00","819.30","776.15","35.53M","7.29%"
"Sep 17, 2020","751.50","751.00","762.00","746.70","7.11M","-0.15%"
"Sep 16, 2020","752.60","743.95","756.50","732.00","6.77M","1.37%"
"Sep 15, 2020","742.45","723.00","754.00","722.65","14.55M","2.89%"
"Sep 14, 2020","721.60","729.00","730.25","717.75","3.10M","-0.60%"
"Sep 11, 2020","725.95","725.80","731.50","720.25","2.47M","-0.12%"
"Sep 10, 2020","726.80","729.00","735.90","719.25","4.57M","-0.10%"
"Sep 09, 2020","727.55","709.15","734.95","705.20","9.08M","2.73%"
"Sep 08, 2020","708.20","716.75","726.45","704.40","4.82M","-1.19%"
"Sep 07, 2020","716.75","728.00","733.80","707.00","4.69M","-1.08%"
"Sep 04, 2020","724.60","733.75","750.00","717.10","7.47M","-1.90%"
"Sep 03, 2020","738.60","742.70","745.95","735.00","3.56M","0.05%"
"Sep 02, 2020","738.25","739.95","748.50","729.20","5.58M","0.23%"
"Sep 01, 2020","736.55","713.55","741.00","710.00","6.26M","3.22%"
"Aug 31, 2020","713.55","752.00","755.70","705.20","7.65M","-4.68%"
"Aug 28, 2020","748.60","763.00","771.00","746.70","8.21M","-1.01%"
"Aug 27, 2020","756.20","750.80","764.00","749.95","6.99M","1.10%"
"Aug 26, 2020","748.00","751.50","754.00","744.20","3.73M","0.03%"
"Aug 25, 2020","747.75","756.25","758.00","745.25","3.42M","-0.53%"
"Aug 24, 2020","751.75","763.00","767.00","750.25","4.94M","-1.18%"
"Aug 21, 2020","760.75","768.85","770.60","759.05","4.70M","-0.26%"
"Aug 20, 2020","762.70","758.35","771.75","758.35","8.17M","0.57%"
"Aug 19, 2020","758.35","770.00","772.70","756.65","6.30M","-0.85%"
"Aug 18, 2020","764.85","772.00","779.65","763.00","5.52M","-0.88%"
"Aug 17, 2020","771.65","779.00","781.00","765.50","6.15M","-0.02%"
"Aug 14, 2020","771.80","762.00","787.75","752.55","16.28M","1.52%"
"Aug 13, 2020","760.25","765.95","782.90","754.10","13.74M","-0.24%"
"Aug 12, 2020","762.10","778.00","778.00","755.60","7.84M","-2.04%"
"Aug 11, 2020","778.00","801.10","801.85","768.75","14.86M","-2.21%"
"Aug 10, 2020","795.60","760.00","814.50","751.35","56.90M","9.19%"
"Aug 07, 2020","728.65","738.00","739.65","724.50","6.16M","-0.34%"
"Aug 06, 2020","731.10","724.95","739.70","720.10","9.66M","1.24%"
"Aug 05, 2020","722.15","720.80","729.95","716.00","5.26M","1.16%"
"Aug 04, 2020","713.85","708.00","718.90","703.20","6.97M","0.49%"
"Aug 03, 2020","710.40","724.00","734.20","701.00","12.50M","-1.35%"
"Jul 31, 2020","720.15","687.00","724.00","687.00","18.90M","4.99%"
"Jul 30, 2020","685.95","681.20","698.95","681.00","7.17M","0.69%"
"Jul 29, 2020","681.25","662.60","685.55","662.60","7.29M","2.81%"
"Jul 28, 2020","662.60","651.00","665.75","644.25","4.58M","1.49%"
"Jul 27, 2020","652.90","673.95","673.95","650.40","4.47M","-1.97%"
"Jul 24, 2020","666.05","673.00","681.00","658.20","4.96M","-0.80%"
"Jul 23, 2020","671.45","663.95","674.00","662.20","4.62M","1.47%"
"Jul 22, 2020","661.70","666.15","677.80","657.50","5.92M","-0.09%"
"Jul 21, 2020","662.30","676.10","682.10","660.00","4.31M","-1.79%"
"Jul 20, 2020","674.35","689.00","690.85","672.35","5.47M","-2.14%"
"Jul 17, 2020","689.10","674.50","696.65","669.25","15.24M","2.16%"
"Jul 16, 2020","674.50","639.95","677.40","635.90","16.10M","5.69%"
"Jul 15, 2020","638.20","634.40","643.50","633.10","4.25M","0.93%"
"Jul 14, 2020","632.30","639.95","644.00","631.25","5.43M","-0.95%"
"Jul 13, 2020","638.35","641.00","646.00","636.60","3.45M","-0.09%"
