"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","955.65","964.00","974.85","950.20","6.02M","-0.65%"
"Apr 22, 2021","961.90","966.00","971.90","955.30","4.97M","0.06%"
"Apr 20, 2021","961.30","1,006.00","1,006.00","957.00","9.74M","-3.35%"
"Apr 19, 2021","994.60","996.00","1,028.45","987.85","6.24M","-1.79%"
"Apr 16, 2021","1,012.75","1,000.00","1,016.80","994.50","4.68M","2.10%"
"Apr 15, 2021","991.90","968.00","994.70","958.75","7.43M","0.86%"
"Apr 13, 2021","983.40","1,012.50","1,020.80","972.20","7.77M","-2.58%"
"Apr 12, 2021","1,009.40","1,042.95","1,042.95","1,001.20","5.98M","-3.44%"
"Apr 09, 2021","1,045.40","1,042.10","1,054.80","1,034.15","3.71M","0.76%"
"Apr 08, 2021","1,037.50","1,044.00","1,054.40","1,031.65","4.85M","0.03%"
"Apr 07, 2021","1,037.20","1,031.00","1,045.00","1,024.70","3.55M","0.86%"
"Apr 06, 2021","1,028.40","1,039.00","1,040.60","1,020.25","4.26M","-0.49%"
"Apr 05, 2021","1,033.50","1,007.00","1,040.00","1,002.60","9.45M","3.08%"
"Apr 01, 2021","1,002.60","992.00","1,013.50","990.60","5.27M","2.03%"
"Mar 31, 2021","982.65","1,000.00","1,000.00","978.65","4.45M","-1.32%"
"Mar 30, 2021","995.80","965.00","1,000.80","964.45","5.48M","3.89%"
"Mar 26, 2021","958.55","965.00","975.00","953.80","4.27M","0.16%"
"Mar 25, 2021","957.05","970.00","974.50","950.00","4.88M","-1.91%"
"Mar 24, 2021","975.65","971.05","984.75","965.80","3.87M","-0.53%"
"Mar 23, 2021","980.85","983.65","992.90","971.80","5.16M","0.21%"
"Mar 22, 2021","978.75","960.45","982.45","944.60","4.75M","1.91%"
"Mar 19, 2021","960.45","950.00","969.00","937.70","9.00M","1.34%"
"Mar 18, 2021","947.75","995.00","999.75","932.40","8.27M","-4.02%"
"Mar 17, 2021","987.45","1,012.00","1,023.90","982.70","6.76M","-1.97%"
"Mar 16, 2021","1,007.25","993.00","1,018.80","990.45","8.09M","1.50%"
"Mar 15, 2021","992.35","977.50","994.35","967.35","5.32M","1.34%"
