"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,414.15","1,409.00","1,434.60","1,400.20","11.36M","-0.59%"
"Apr 22, 2021","1,422.50","1,380.00","1,426.80","1,371.05","19.24M","2.24%"
"Apr 20, 2021","1,391.40","1,425.00","1,426.40","1,383.95","11.59M","-1.49%"
"Apr 19, 2021","1,412.40","1,390.00","1,417.70","1,372.30","12.03M","-1.14%"
"Apr 16, 2021","1,428.65","1,434.95","1,445.00","1,423.50","7.80M","-0.10%"
"Apr 15, 2021","1,430.10","1,405.00","1,436.70","1,391.00","17.22M","2.12%"
"Apr 13, 2021","1,400.35","1,368.00","1,406.45","1,361.00","9.30M","2.44%"
"Apr 12, 2021","1,367.05","1,393.00","1,399.00","1,353.00","11.27M","-3.85%"
"Apr 09, 2021","1,421.75","1,426.00","1,432.80","1,415.10","14.08M","-0.77%"
"Apr 08, 2021","1,432.80","1,453.00","1,460.90","1,430.50","8.81M","-1.00%"
"Apr 07, 2021","1,447.20","1,439.30","1,456.70","1,421.55","12.54M","0.48%"
"Apr 06, 2021","1,440.25","1,460.00","1,462.65","1,432.65","7.54M","-0.65%"
"Apr 05, 2021","1,449.60","1,480.00","1,485.00","1,431.00","8.00M","-2.50%"
"Apr 01, 2021","1,486.75","1,499.40","1,499.40","1,465.00","17.88M","-0.46%"
"Mar 31, 2021","1,493.65","1,548.00","1,548.00","1,488.00","15.39M","-3.86%"
"Mar 30, 2021","1,553.70","1,506.65","1,562.55","1,501.55","12.80M","4.18%"
"Mar 26, 2021","1,491.30","1,494.00","1,499.00","1,474.00","6.01M","1.91%"
"Mar 25, 2021","1,463.35","1,490.20","1,495.55","1,450.25","11.98M","-1.04%"
"Mar 24, 2021","1,478.80","1,490.90","1,506.45","1,471.00","8.18M","-1.42%"
"Mar 23, 2021","1,500.15","1,470.00","1,507.45","1,469.10","9.88M","2.11%"
"Mar 22, 2021","1,469.15","1,494.90","1,494.90","1,460.40","7.01M","-1.89%"
"Mar 19, 2021","1,497.50","1,485.00","1,511.20","1,474.05","10.62M","0.44%"
"Mar 18, 2021","1,491.00","1,511.75","1,522.05","1,481.15","9.03M","-0.29%"
"Mar 17, 2021","1,495.35","1,524.25","1,539.00","1,490.20","10.53M","-1.11%"
"Mar 16, 2021","1,512.15","1,530.90","1,540.40","1,510.00","6.86M","-1.08%"
"Mar 15, 2021","1,528.65","1,548.40","1,548.40","1,515.30","6.12M","-1.50%"
"Mar 12, 2021","1,551.95","1,600.00","1,600.00","1,535.05","7.82M","-0.24%"
"Mar 10, 2021","1,555.75","1,572.00","1,575.00","1,552.15","5.53M","-0.43%"
"Mar 09, 2021","1,562.50","1,545.00","1,565.70","1,538.25","7.53M","2.83%"
"Mar 08, 2021","1,519.50","1,542.00","1,555.00","1,512.50","7.56M","-0.69%"
"Mar 05, 2021","1,530.00","1,531.00","1,545.60","1,521.10","8.72M","-1.42%"
"Mar 04, 2021","1,552.05","1,548.55","1,571.00","1,539.10","8.15M","-2.19%"
"Mar 03, 2021","1,586.85","1,584.00","1,596.00","1,565.00","5.61M","1.19%"
"Mar 02, 2021","1,568.20","1,575.70","1,587.50","1,551.00","8.06M","0.60%"
"Mar 01, 2021","1,558.90","1,564.00","1,572.55","1,540.70","6.77M","1.60%"
"Feb 26, 2021","1,534.40","1,587.05","1,588.90","1,521.00","13.96M","-4.48%"
"Feb 25, 2021","1,606.40","1,609.75","1,636.25","1,602.00","10.05M","-0.00%"
"Feb 24, 2021","1,606.45","1,526.50","1,613.95","1,516.25","7.16M","5.06%"
"Feb 23, 2021","1,529.15","1,553.75","1,557.70","1,522.65","9.12M","-1.22%"
"Feb 22, 2021","1,548.00","1,545.05","1,573.90","1,539.45","14.73M","0.58%"
"Feb 19, 2021","1,539.10","1,545.00","1,564.20","1,533.00","8.57M","-0.98%"
"Feb 18, 2021","1,554.30","1,605.95","1,605.95","1,548.00","7.36M","-2.03%"
"Feb 17, 2021","1,586.50","1,620.00","1,621.80","1,583.00","6.40M","-2.47%"
"Feb 16, 2021","1,626.65","1,621.20","1,641.00","1,608.45","6.95M","0.62%"
