"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","2,307.75","2,340.00","2,350.00","2,300.00","1.95M","-1.77%"
"Apr 22, 2021","2,349.40","2,390.00","2,390.00","2,332.00","1.72M","-2.00%"
"Apr 20, 2021","2,397.45","2,456.00","2,456.00","2,383.80","1.59M","-1.61%"
"Apr 19, 2021","2,436.65","2,440.00","2,459.70","2,414.05","1.75M","-0.90%"
"Apr 16, 2021","2,458.90","2,469.90","2,478.95","2,440.00","1.23M","-0.07%"
"Apr 15, 2021","2,460.65","2,497.00","2,497.00","2,421.10","3.35M","0.25%"
"Apr 13, 2021","2,454.40","2,470.00","2,505.90","2,448.80","1.81M","-0.31%"
"Apr 12, 2021","2,462.00","2,441.50","2,488.25","2,437.60","2.26M","-0.57%"
"Apr 09, 2021","2,476.00","2,424.00","2,483.00","2,424.00","2.60M","2.74%"
"Apr 08, 2021","2,409.90","2,406.00","2,439.00","2,395.60","1.81M","0.19%"
"Apr 07, 2021","2,405.25","2,417.00","2,435.00","2,387.35","1.71M","-0.13%"
"Apr 06, 2021","2,408.30","2,382.30","2,411.00","2,377.35","3.68M","1.48%"
"Apr 05, 2021","2,373.20","2,400.00","2,417.20","2,346.50","2.55M","-1.08%"
"Apr 01, 2021","2,399.10","2,446.80","2,446.80","2,392.05","1.53M","-1.33%"
"Mar 31, 2021","2,431.50","2,386.00","2,438.60","2,381.65","2.71M","1.37%"
"Mar 30, 2021","2,398.75","2,325.00","2,406.00","2,325.00","3.33M","3.49%"
"Mar 26, 2021","2,317.90","2,255.00","2,325.00","2,248.80","1.93M","3.61%"
"Mar 25, 2021","2,237.05","2,318.60","2,322.00","2,231.05","2.50M","-3.52%"
"Mar 24, 2021","2,318.60","2,337.30","2,350.90","2,315.55","1.76M","-0.80%"
"Mar 23, 2021","2,337.30","2,363.00","2,372.95","2,333.40","1.97M","-0.68%"
"Mar 22, 2021","2,353.20","2,310.10","2,356.50","2,302.00","2.47M","1.78%"
"Mar 19, 2021","2,312.05","2,204.10","2,325.25","2,191.50","5.38M","4.37%"
"Mar 18, 2021","2,215.20","2,238.00","2,249.90","2,205.00","2.60M","-0.50%"
"Mar 17, 2021","2,226.30","2,254.00","2,262.00","2,219.25","3.70M","-0.79%"
"Mar 16, 2021","2,244.05","2,221.35","2,247.50","2,214.30","2.63M","1.50%"
"Mar 15, 2021","2,210.85","2,206.10","2,217.45","2,183.30","1.63M","0.28%"
"Mar 12, 2021","2,204.75","2,236.00","2,239.90","2,200.00","2.04M","-1.04%"
"Mar 10, 2021","2,227.85","2,210.50","2,236.90","2,193.20","2.70M","1.34%"
"Mar 09, 2021","2,198.50","2,176.00","2,205.00","2,162.05","1.71M","1.10%"
"Mar 08, 2021","2,174.55","2,210.00","2,216.10","2,169.00","1.44M","-1.21%"
"Mar 05, 2021","2,201.10","2,184.60","2,209.95","2,175.25","2.13M","0.19%"
"Mar 04, 2021","2,196.90","2,185.00","2,203.50","2,174.00","2.29M","0.15%"
"Mar 03, 2021","2,193.50","2,205.00","2,205.00","2,173.50","2.03M","0.71%"
"Mar 02, 2021","2,177.95","2,162.00","2,183.90","2,140.55","2.10M","1.61%"
"Mar 01, 2021","2,143.40","2,135.20","2,154.00","2,128.00","1.23M","0.53%"
"Feb 26, 2021","2,132.05","2,158.00","2,182.40","2,120.00","3.41M","-1.44%"
"Feb 25, 2021","2,163.30","2,177.00","2,185.00","2,160.00","2.10M","-0.71%"
"Feb 24, 2021","2,178.85","2,188.50","2,188.50","2,155.55","924.14K","-0.02%"
"Feb 23, 2021","2,179.25","2,185.00","2,192.35","2,170.20","2.06M","0.54%"
"Feb 22, 2021","2,167.60","2,205.00","2,205.00","2,161.60","2.68M","-0.62%"
"Feb 19, 2021","2,181.10","2,152.90","2,194.00","2,150.00","3.36M","1.60%"
"Feb 18, 2021","2,146.85","2,164.00","2,168.55","2,143.20","3.21M","-0.79%"
"Feb 17, 2021","2,163.90","2,196.00","2,201.55","2,160.00","2.45M","-1.47%"
"Feb 16, 2021","2,196.10","2,227.00","2,229.05","2,190.05","2.40M","-0.86%"
"Feb 15, 2021","2,215.20","2,251.00","2,261.75","2,213.00","2.45M","-1.18%"
"Feb 12, 2021","2,241.55","2,268.00","2,272.25","2,232.00","1.22M","-0.95%"
"Feb 11, 2021","2,263.00","2,242.00","2,268.00","2,234.05","1.82M","1.23%"
"Feb 10, 2021","2,235.50","2,220.00","2,241.00","2,212.75","2.06M","0.87%"
"Feb 09, 2021","2,216.25","2,247.00","2,254.70","2,210.50","3.13M","-0.91%"
"Feb 08, 2021","2,236.65","2,288.00","2,288.70","2,230.30","2.78M","-1.45%"
"Feb 05, 2021","2,269.55","2,245.60","2,285.00","2,241.00","4.04M","1.07%"
"Feb 04, 2021","2,245.60","2,239.00","2,259.00","2,226.20","2.91M","0.57%"
"Feb 03, 2021","2,232.85","2,231.50","2,257.00","2,217.60","2.35M","0.11%"
"Feb 02, 2021","2,230.45","2,271.05","2,275.00","2,205.00","4.22M","-0.81%"
"Feb 01, 2021","2,248.60","2,276.65","2,285.00","2,226.20","2.72M","-0.68%"
"Jan 29, 2021","2,263.90","2,315.10","2,322.30","2,251.00","4.47M","-1.59%"
"Jan 28, 2021","2,300.40","2,367.90","2,411.55","2,290.00","3.87M","-3.80%"
"Jan 27, 2021","2,391.30","2,425.00","2,425.00","2,335.00","2.46M","-0.35%"
"Jan 25, 2021","2,399.60","2,420.00","2,432.35","2,385.00","2.12M","-0.40%"
"Jan 22, 2021","2,409.35","2,359.00","2,422.00","2,357.00","2.55M","1.76%"
"Jan 21, 2021","2,367.65","2,376.00","2,399.90","2,350.00","1.52M","0.50%"
"Jan 20, 2021","2,355.95","2,357.00","2,373.95","2,346.30","1.38M","-0.30%"
"Jan 19, 2021","2,363.15","2,342.00","2,382.10","2,323.25","1.50M","1.31%"
"Jan 18, 2021","2,332.60","2,374.50","2,374.50","2,320.65","1.73M","-0.79%"
"Jan 15, 2021","2,351.15","2,392.50","2,407.00","2,342.80","2.04M","-1.98%"
"Jan 14, 2021","2,398.55","2,366.00","2,406.00","2,351.15","2.12M","1.10%"
"Jan 13, 2021","2,372.35","2,381.90","2,398.00","2,364.60","1.70M","-0.15%"
"Jan 12, 2021","2,375.90","2,429.80","2,433.10","2,372.00","2.04M","-2.19%"
"Jan 11, 2021","2,429.10","2,425.00","2,441.95","2,402.10","2.79M","1.58%"
"Jan 08, 2021","2,391.20","2,390.00","2,400.00","2,360.80","2.80M","0.94%"
"Jan 07, 2021","2,368.85","2,432.00","2,432.70","2,365.00","2.40M","-2.00%"
"Jan 06, 2021","2,417.30","2,445.80","2,450.00","2,401.60","1.64M","-1.36%"
"Jan 05, 2021","2,450.55","2,405.00","2,456.95","2,405.00","2.36M","0.99%"
"Jan 04, 2021","2,426.50","2,405.00","2,430.00","2,400.70","1.61M","1.63%"
"Jan 01, 2021","2,387.55","2,395.40","2,404.00","2,382.00","830.10K","-0.33%"
"Dec 31, 2020","2,395.40","2,396.00","2,417.00","2,387.00","1.71M","-0.47%"
"Dec 30, 2020","2,406.60","2,390.00","2,414.65","2,376.00","1.92M","0.94%"
"Dec 29, 2020","2,384.30","2,395.00","2,403.00","2,354.20","1.75M","-0.19%"
"Dec 28, 2020","2,388.90","2,405.00","2,417.40","2,376.05","1.53M","-0.56%"
"Dec 24, 2020","2,402.25","2,382.50","2,410.00","2,360.05","2.49M","1.35%"
"Dec 23, 2020","2,370.35","2,320.00","2,377.30","2,303.25","1.56M","2.57%"
"Dec 22, 2020","2,311.00","2,310.00","2,333.30","2,281.00","1.76M","0.22%"
"Dec 21, 2020","2,305.95","2,343.00","2,350.00","2,265.10","2.00M","-1.18%"
"Dec 18, 2020","2,333.45","2,322.00","2,343.90","2,312.00","2.23M","0.78%"
"Dec 17, 2020","2,315.30","2,342.00","2,342.00","2,310.00","1.91M","-1.22%"
"Dec 16, 2020","2,343.95","2,317.10","2,354.90","2,303.00","1.75M","1.03%"
"Dec 15, 2020","2,320.05","2,361.00","2,363.95","2,307.30","2.21M","-2.14%"
"Dec 14, 2020","2,370.75","2,380.95","2,391.40","2,356.15","1.58M","-0.17%"
"Dec 11, 2020","2,374.75","2,366.25","2,385.00","2,333.00","2.61M","1.03%"
"Dec 10, 2020","2,350.45","2,290.00","2,357.90","2,275.05","3.04M","2.54%"
"Dec 09, 2020","2,292.20","2,260.00","2,296.00","2,243.25","2.12M","1.42%"
"Dec 08, 2020","2,260.00","2,259.50","2,278.20","2,240.15","2.77M","0.17%"
"Dec 07, 2020","2,256.15","2,189.25","2,259.60","2,187.00","4.15M","3.29%"
"Dec 04, 2020","2,184.20","2,141.00","2,195.40","2,133.60","3.71M","2.65%"
"Dec 03, 2020","2,127.75","2,153.00","2,156.40","2,120.10","3.47M","-0.54%"
"Dec 02, 2020","2,139.30","2,145.00","2,149.90","2,122.10","1.63M","0.29%"
