"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","569.95","569.90","580.50","567.05","33.75M","-1.60%"
"Apr 22, 2021","579.20","552.00","580.60","546.90","34.94M","3.60%"
"Apr 20, 2021","559.10","565.20","572.65","552.60","24.43M","-0.12%"
"Apr 19, 2021","559.75","550.00","562.30","534.40","28.53M","-1.27%"
"Apr 16, 2021","566.95","574.60","577.75","564.10","24.05M","-1.43%"
"Apr 15, 2021","575.20","565.95","576.75","554.15","37.61M","2.60%"
"Apr 13, 2021","560.60","541.00","563.80","537.85","25.45M","4.09%"
"Apr 12, 2021","538.55","551.40","551.95","531.15","26.60M","-4.88%"
"Apr 09, 2021","566.20","573.95","579.00","565.00","23.24M","-1.82%"
"Apr 08, 2021","576.70","582.00","585.85","573.30","19.26M","-0.16%"
"Apr 07, 2021","577.65","566.55","580.00","559.40","23.98M","2.08%"
"Apr 06, 2021","565.90","574.70","578.50","564.40","23.28M","-0.94%"
"Apr 05, 2021","571.25","592.00","592.00","563.50","23.26M","-3.89%"
"Apr 01, 2021","594.40","587.55","596.10","580.20","15.63M","2.11%"
"Mar 31, 2021","582.10","586.00","589.65","579.00","20.12M","-1.58%"
"Mar 30, 2021","591.45","582.00","593.10","582.00","28.01M","2.23%"
"Mar 26, 2021","578.55","584.50","584.50","574.30","20.72M","1.22%"
"Mar 25, 2021","571.55","568.10","579.00","557.10","27.17M","0.71%"
"Mar 24, 2021","567.50","580.00","580.55","565.00","24.43M","-3.22%"
"Mar 23, 2021","586.40","576.00","589.25","574.30","29.49M","2.26%"
"Mar 22, 2021","573.45","586.85","586.85","569.50","21.76M","-2.25%"
"Mar 19, 2021","586.65","575.20","588.90","570.00","29.16M","1.39%"
"Mar 18, 2021","578.60","594.75","601.40","575.50","22.78M","-1.85%"
"Mar 17, 2021","589.50","597.55","603.65","587.00","20.21M","-0.92%"
"Mar 16, 2021","594.95","606.85","607.00","593.65","17.93M","-1.42%"
"Mar 15, 2021","603.50","611.90","612.85","590.60","24.35M","-1.53%"
"Mar 12, 2021","612.85","631.45","638.00","608.35","21.76M","-2.04%"
"Mar 10, 2021","625.60","628.75","630.50","621.80","15.84M","0.08%"
"Mar 09, 2021","625.10","614.85","628.35","612.30","23.06M","2.80%"
"Mar 08, 2021","608.05","611.60","616.00","601.15","19.63M","-0.23%"
"Mar 05, 2021","609.45","613.20","614.70","601.50","26.65M","-1.82%"
"Mar 04, 2021","620.75","618.75","630.90","615.80","25.06M","-1.80%"
"Mar 03, 2021","632.10","618.00","633.75","613.85","21.04M","3.54%"
"Mar 02, 2021","610.50","610.00","616.50","599.00","24.05M","0.35%"
"Mar 01, 2021","608.35","607.55","611.85","600.20","21.53M","1.77%"
"Feb 26, 2021","597.75","615.00","615.00","590.90","57.35M","-4.82%"
"Feb 25, 2021","628.00","642.70","648.40","626.30","38.57M","-2.04%"
"Feb 24, 2021","641.10","615.10","645.00","615.10","17.76M","4.02%"
"Feb 23, 2021","616.30","614.75","623.05","609.05","23.53M","1.06%"
"Feb 22, 2021","609.85","622.00","629.30","607.30","27.09M","-2.28%"
"Feb 19, 2021","624.05","635.50","635.50","619.00","24.06M","-3.20%"
"Feb 18, 2021","644.65","650.00","652.40","637.60","27.85M","-1.93%"
"Feb 17, 2021","657.35","654.80","664.95","649.35","21.68M","-0.15%"
"Feb 16, 2021","658.35","673.40","679.40","649.55","24.97M","-2.31%"
"Feb 15, 2021","673.95","655.00","676.80","652.00","27.16M","4.07%"
"Feb 12, 2021","647.60","629.90","649.90","629.40","19.05M","2.69%"
"Feb 11, 2021","630.65","626.75","633.60","624.10","16.07M","-0.24%"
"Feb 10, 2021","632.15","633.35","638.20","626.40","23.97M","-0.19%"
"Feb 09, 2021","633.35","631.35","643.20","628.60","27.16M","0.60%"
"Feb 08, 2021","629.60","622.35","633.95","622.35","18.23M","2.52%"
"Feb 05, 2021","614.15","628.30","635.30","611.00","32.02M","-2.25%"
"Feb 04, 2021","628.30","618.80","631.65","609.00","29.98M","0.96%"
"Feb 03, 2021","622.35","623.40","627.50","614.00","27.16M","0.81%"
"Feb 02, 2021","617.35","613.00","624.00","598.70","42.36M","2.24%"
"Feb 01, 2021","603.80","552.00","609.45","551.00","69.35M","12.44%"
"Jan 29, 2021","537.00","533.35","544.95","529.45","33.17M","1.66%"
"Jan 28, 2021","528.25","514.60","529.85","512.00","29.84M","1.13%"
"Jan 27, 2021","522.35","537.80","539.20","519.10","28.05M","-2.92%"
"Jan 25, 2021","538.05","536.55","542.30","531.20","23.42M","0.80%"
"Jan 22, 2021","533.80","553.10","553.50","530.60","24.52M","-3.42%"
"Jan 21, 2021","552.70","555.00","561.00","549.70","18.19M","0.31%"
"Jan 20, 2021","551.00","546.45","554.60","546.00","16.10M","0.83%"
"Jan 19, 2021","546.45","539.00","547.75","533.90","20.58M","2.49%"
"Jan 18, 2021","533.15","544.50","548.40","528.90","21.58M","-1.81%"
"Jan 15, 2021","543.00","550.00","551.00","541.50","15.71M","-1.86%"
"Jan 14, 2021","553.30","554.05","558.45","550.60","13.33M","-0.58%"
"Jan 13, 2021","556.50","551.50","561.00","548.25","21.92M","1.55%"
"Jan 12, 2021","548.00","541.00","550.65","537.10","16.39M","0.61%"
"Jan 11, 2021","544.70","545.15","546.00","535.00","19.39M","0.49%"
"Jan 08, 2021","542.05","547.00","547.10","536.35","21.94M","0.18%"
"Jan 07, 2021","541.10","552.15","554.40","539.75","21.14M","-1.02%"
"Jan 06, 2021","546.70","538.75","550.60","535.85","28.18M","1.76%"
"Jan 05, 2021","537.25","526.65","539.95","523.00","23.31M","1.04%"
"Jan 04, 2021","531.70","532.30","535.00","524.30","16.55M","0.80%"
"Jan 01, 2021","527.50","535.55","537.00","526.10","13.59M","-1.41%"
"Dec 31, 2020","535.05","530.10","538.50","526.50","27.82M","1.19%"
"Dec 30, 2020","528.75","531.65","533.00","524.55","21.37M","-0.01%"
"Dec 29, 2020","528.80","522.55","530.80","517.85","19.09M","1.67%"
"Dec 28, 2020","520.10","515.90","521.20","513.60","14.47M","1.28%"
"Dec 24, 2020","513.55","506.75","515.95","505.10","17.58M","1.98%"
"Dec 23, 2020","503.60","499.00","505.50","496.55","19.21M","0.66%"
"Dec 22, 2020","500.30","497.30","501.80","489.10","32.33M","1.17%"
"Dec 21, 2020","494.50","514.60","514.70","488.20","29.16M","-4.38%"
"Dec 18, 2020","517.15","514.00","518.25","509.15","21.74M","1.32%"
"Dec 17, 2020","510.40","514.00","516.50","509.10","23.88M","-0.40%"
"Dec 16, 2020","512.45","520.05","521.70","511.10","24.26M","-1.08%"
"Dec 15, 2020","518.05","524.00","524.25","513.10","26.97M","-1.47%"
"Dec 14, 2020","525.80","518.10","527.80","518.10","26.37M","2.01%"
"Dec 11, 2020","515.45","509.25","516.90","506.10","25.34M","1.68%"
"Dec 10, 2020","506.95","508.10","514.40","498.75","20.42M","-0.89%"
"Dec 09, 2020","511.50","510.00","515.00","506.05","21.27M","0.61%"
"Dec 08, 2020","508.40","511.50","512.00","505.40","19.34M","-0.40%"
"Dec 07, 2020","510.45","505.00","515.60","504.15","37.78M","1.67%"
"Dec 04, 2020","502.05","483.70","504.00","483.00","39.55M","4.19%"
"Dec 03, 2020","481.85","482.10","485.00","478.85","22.70M","0.29%"
"Dec 02, 2020","480.45","486.35","487.00","472.20","21.24M","-0.96%"
"Dec 01, 2020","485.10","479.70","488.50","474.30","20.12M","2.48%"
"Nov 27, 2020","473.35","476.40","479.55","471.30","48.39M","-0.41%"
"Nov 26, 2020","475.30","475.10","477.20","465.80","28.71M","0.55%"
"Nov 25, 2020","472.70","485.00","489.95","471.10","34.17M","-1.15%"
"Nov 24, 2020","478.20","474.00","480.00","471.20","23.14M","2.12%"
"Nov 23, 2020","468.25","481.80","483.35","466.50","29.51M","-2.49%"
"Nov 20, 2020","480.20","479.50","483.45","468.10","30.09M","0.30%"
"Nov 19, 2020","478.75","490.00","493.35","475.80","31.90M","-3.80%"
"Nov 18, 2020","497.65","488.00","499.00","486.25","29.16M","2.31%"
"Nov 17, 2020","486.40","490.50","493.00","478.15","36.13M","0.18%"
"Nov 13, 2020","485.55","472.70","487.10","467.55","34.82M","1.86%"
"Nov 12, 2020","476.70","481.60","483.55","471.35","31.07M","-2.02%"
"Nov 11, 2020","486.55","484.75","490.55","472.10","45.61M","0.56%"
"Nov 10, 2020","483.85","485.80","487.05","473.00","57.54M","4.57%"
"Nov 09, 2020","462.70","450.00","464.60","449.00","41.00M","4.49%"
"Nov 06, 2020","442.80","439.85","444.90","436.20","27.83M","0.98%"
"Nov 05, 2020","438.50","445.00","446.25","435.60","30.13M","0.33%"
"Nov 04, 2020","437.05","437.30","442.00","425.30","43.43M","-1.53%"
"Nov 03, 2020","443.85","425.00","446.90","424.20","61.81M","6.32%"
"Nov 02, 2020","417.45","417.00","422.80","407.00","72.70M","6.33%"
"Oct 30, 2020","392.60","399.40","402.70","388.05","27.23M","-1.83%"
"Oct 29, 2020","399.90","392.25","402.90","389.65","32.62M","0.97%"
"Oct 28, 2020","396.05","409.90","409.90","394.80","28.15M","-3.39%"
"Oct 27, 2020","409.95","406.35","412.40","393.25","33.57M","1.36%"
"Oct 26, 2020","404.45","418.05","419.15","401.45","21.71M","-3.00%"
"Oct 23, 2020","416.95","417.00","420.50","411.75","22.15M","0.98%"
"Oct 22, 2020","412.90","416.40","419.65","407.65","33.09M","-1.76%"
"Oct 21, 2020","420.30","416.00","428.50","410.30","43.13M","1.37%"
"Oct 20, 2020","414.60","413.50","416.90","411.00","26.16M","-0.60%"
"Oct 19, 2020","417.10","402.05","418.75","401.15","41.07M","5.30%"
"Oct 16, 2020","396.10","394.00","401.30","390.50","25.34M","1.30%"
"Oct 15, 2020","391.00","406.90","409.90","389.15","34.24M","-3.88%"
"Oct 14, 2020","406.80","394.35","409.25","389.00","23.37M","2.66%"
"Oct 13, 2020","396.25","401.00","401.00","393.50","19.92M","-1.93%"
"Oct 12, 2020","404.05","403.45","410.00","400.70","25.74M","0.64%"
"Oct 09, 2020","401.50","390.70","403.50","386.90","41.64M","3.61%"
"Oct 08, 2020","387.50","385.00","389.70","382.65","21.09M","1.27%"
"Oct 07, 2020","382.65","379.30","384.35","374.10","21.85M","0.54%"
"Oct 06, 2020","380.60","377.10","381.80","375.10","18.09M","2.01%"
"Oct 05, 2020","373.10","370.75","382.65","370.75","26.53M","1.06%"
"Oct 01, 2020","369.20","358.25","371.20","358.25","23.24M","4.07%"
"Sep 30, 2020","354.75","356.95","357.50","349.35","19.57M","-0.64%"
"Sep 29, 2020","357.05","363.75","363.75","354.25","17.08M","-1.64%"
