"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,333.80","1,343.00","1,348.40","1,331.00","7.32M","-1.28%"
"Apr 22, 2021","1,351.10","1,355.55","1,364.80","1,345.15","6.62M","-0.02%"
"Apr 20, 2021","1,351.35","1,379.00","1,379.00","1,342.40","8.56M","-0.82%"
"Apr 19, 2021","1,362.55","1,340.00","1,379.70","1,332.35","12.51M","0.65%"
"Apr 16, 2021","1,353.75","1,365.00","1,370.85","1,346.60","10.88M","-0.51%"
"Apr 15, 2021","1,360.75","1,332.30","1,366.40","1,320.00","25.34M","-2.61%"
"Apr 13, 2021","1,397.15","1,433.00","1,435.25","1,375.00","14.86M","-2.01%"
"Apr 12, 2021","1,425.75","1,474.00","1,477.55","1,415.00","20.38M","-1.06%"
"Apr 09, 2021","1,441.05","1,455.00","1,455.00","1,430.05","6.05M","0.08%"
"Apr 08, 2021","1,439.85","1,430.00","1,451.70","1,421.00","5.65M","0.67%"
"Apr 07, 2021","1,430.20","1,410.25","1,434.95","1,406.60","5.88M","1.36%"
"Apr 06, 2021","1,411.05","1,423.00","1,426.00","1,406.45","5.79M","0.08%"
"Apr 05, 2021","1,409.90","1,391.00","1,425.00","1,387.00","9.48M","1.78%"
"Apr 01, 2021","1,385.20","1,380.00","1,391.60","1,371.00","5.68M","1.25%"
"Mar 31, 2021","1,368.05","1,382.00","1,388.00","1,363.30","8.22M","-1.25%"
"Mar 30, 2021","1,385.30","1,346.90","1,400.00","1,336.15","10.55M","3.67%"
"Mar 26, 2021","1,336.20","1,344.70","1,356.70","1,332.00","4.92M","0.18%"
"Mar 25, 2021","1,333.80","1,346.75","1,352.50","1,327.60","8.75M","-1.47%"
"Mar 24, 2021","1,353.75","1,357.85","1,370.45","1,346.25","6.13M","-1.30%"
"Mar 23, 2021","1,371.55","1,372.45","1,383.25","1,359.60","7.17M","0.05%"
"Mar 22, 2021","1,370.80","1,350.10","1,376.00","1,336.10","4.86M","1.96%"
"Mar 19, 2021","1,344.45","1,330.00","1,355.20","1,318.00","12.77M","0.55%"
"Mar 18, 2021","1,337.10","1,393.75","1,393.75","1,313.50","10.96M","-3.60%"
"Mar 17, 2021","1,387.00","1,392.25","1,400.00","1,382.00","7.63M","0.22%"
"Mar 16, 2021","1,384.00","1,386.05","1,406.00","1,380.50","9.35M","0.76%"
"Mar 15, 2021","1,373.60","1,370.00","1,379.90","1,358.50","6.66M","-0.09%"
"Mar 12, 2021","1,374.85","1,373.00","1,391.70","1,370.05","9.46M","0.49%"
"Mar 10, 2021","1,368.15","1,356.90","1,374.00","1,355.00","7.93M","1.68%"
"Mar 09, 2021","1,345.55","1,329.50","1,350.45","1,318.75","6.52M","0.73%"
"Mar 08, 2021","1,335.75","1,324.80","1,346.10","1,317.20","5.12M","1.45%"
"Mar 05, 2021","1,316.70","1,328.50","1,340.00","1,305.05","6.49M","-1.03%"
"Mar 04, 2021","1,330.35","1,335.00","1,363.85","1,325.90","12.04M","-0.98%"
"Mar 03, 2021","1,343.55","1,319.20","1,347.00","1,308.00","9.06M","2.99%"
"Mar 02, 2021","1,304.50","1,282.25","1,310.00","1,279.20","10.46M","2.96%"
"Mar 01, 2021","1,267.00","1,263.30","1,284.50","1,259.00","5.76M","1.09%"
"Feb 26, 2021","1,253.30","1,269.00","1,274.30","1,244.75","15.13M","-1.67%"
"Feb 25, 2021","1,274.55","1,288.45","1,299.75","1,272.00","8.79M","0.02%"
"Feb 24, 2021","1,274.30","1,260.05","1,276.60","1,252.00","4.54M","0.63%"
"Feb 23, 2021","1,266.35","1,271.15","1,291.00","1,257.55","6.61M","0.09%"
"Feb 22, 2021","1,265.20","1,295.00","1,308.55","1,260.00","7.37M","-2.02%"
"Feb 19, 2021","1,291.30","1,296.10","1,299.50","1,276.80","5.39M","-0.09%"
"Feb 18, 2021","1,292.45","1,276.00","1,306.00","1,275.00","6.44M","0.87%"
"Feb 17, 2021","1,281.30","1,290.40","1,294.50","1,275.00","4.58M","-0.71%"
"Feb 16, 2021","1,290.40","1,314.00","1,319.75","1,286.00","6.90M","-1.47%"
"Feb 15, 2021","1,309.65","1,320.00","1,328.40","1,307.10","4.36M","-0.01%"
"Feb 12, 2021","1,309.80","1,305.00","1,323.75","1,301.55","5.80M","1.33%"
"Feb 11, 2021","1,292.65","1,289.00","1,296.00","1,283.05","4.67M","-0.30%"
"Feb 10, 2021","1,296.50","1,295.80","1,304.35","1,283.60","5.95M","-0.69%"
"Feb 09, 2021","1,305.55","1,306.90","1,332.00","1,297.85","7.97M","0.15%"
"Feb 08, 2021","1,303.55","1,285.50","1,310.00","1,275.50","6.92M","2.47%"
"Feb 05, 2021","1,272.10","1,286.40","1,288.75","1,262.00","5.48M","-0.57%"
"Feb 04, 2021","1,279.35","1,285.00","1,293.40","1,272.05","5.03M","-0.41%"
"Feb 03, 2021","1,284.65","1,277.65","1,304.00","1,273.00","8.18M","1.05%"
"Feb 02, 2021","1,271.25","1,280.00","1,294.40","1,263.60","6.89M","0.82%"
"Feb 01, 2021","1,260.90","1,250.55","1,277.95","1,241.00","8.88M","1.76%"
"Jan 29, 2021","1,239.05","1,286.25","1,291.15","1,231.00","12.18M","-2.91%"
"Jan 28, 2021","1,276.20","1,291.80","1,296.45","1,272.55","4.66M","-1.91%"
"Jan 27, 2021","1,301.00","1,319.60","1,327.55","1,285.10","8.13M","-1.82%"
"Jan 25, 2021","1,325.10","1,345.00","1,347.90","1,313.00","6.54M","-1.17%"
"Jan 22, 2021","1,340.85","1,327.00","1,356.00","1,326.55","9.65M","0.09%"
"Jan 21, 2021","1,339.70","1,350.00","1,361.05","1,335.00","6.14M","0.02%"
"Jan 20, 2021","1,339.45","1,320.55","1,348.40","1,320.55","8.23M","1.73%"
"Jan 19, 2021","1,316.65","1,320.00","1,331.00","1,312.00","5.59M","0.35%"
"Jan 18, 2021","1,312.05","1,338.00","1,340.00","1,306.00","8.86M","-2.45%"
"Jan 15, 2021","1,344.95","1,360.00","1,364.45","1,340.00","15.02M","-1.86%"
"Jan 14, 2021","1,370.50","1,360.00","1,384.00","1,318.45","27.52M","-1.20%"
"Jan 13, 2021","1,387.15","1,373.85","1,392.80","1,360.00","14.44M","1.12%"
"Jan 12, 2021","1,371.75","1,378.00","1,378.00","1,360.00","8.31M","-0.32%"
"Jan 11, 2021","1,376.20","1,342.10","1,383.35","1,340.00","20.53M","4.89%"
"Jan 08, 2021","1,312.10","1,278.25","1,316.80","1,278.25","13.19M","3.96%"
"Jan 07, 2021","1,262.15","1,296.00","1,297.65","1,255.50","10.95M","-1.56%"
"Jan 06, 2021","1,282.10","1,300.00","1,302.00","1,268.05","7.16M","-0.90%"
"Jan 05, 2021","1,293.80","1,282.00","1,299.00","1,275.05","8.15M","0.43%"
