"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","205.35","204.25","207.00","204.25","19.63M","-0.27%"
"Apr 22, 2021","205.90","202.00","206.30","200.55","23.14M","1.15%"
"Apr 20, 2021","203.55","206.20","207.00","202.50","21.36M","-1.00%"
"Apr 19, 2021","205.60","205.00","206.10","203.75","15.79M","-1.13%"
"Apr 16, 2021","207.95","208.00","209.25","206.50","13.31M","0.60%"
"Apr 15, 2021","206.70","209.00","210.45","206.00","17.53M","-0.96%"
"Apr 13, 2021","208.70","207.00","209.70","206.00","20.25M","1.66%"
"Apr 12, 2021","205.30","210.00","211.00","205.00","34.51M","-3.66%"
"Apr 09, 2021","213.10","213.75","215.95","212.55","16.36M","-0.07%"
"Apr 08, 2021","213.25","214.85","216.10","212.85","14.12M","-0.26%"
"Apr 07, 2021","213.80","212.70","215.20","212.45","15.20M","0.54%"
"Apr 06, 2021","212.65","213.80","214.95","210.15","25.67M","0.05%"
"Apr 05, 2021","212.55","217.60","220.00","210.50","31.38M","-3.41%"
"Apr 01, 2021","220.05","220.00","220.60","217.30","29.06M","0.71%"
"Mar 31, 2021","218.50","214.05","219.30","212.70","36.49M","1.84%"
"Mar 30, 2021","214.55","213.25","215.00","210.40","27.79M","1.73%"
"Mar 26, 2021","210.90","214.25","214.45","210.35","26.08M","-0.33%"
"Mar 25, 2021","211.60","215.15","215.95","209.05","40.68M","-2.01%"
"Mar 24, 2021","215.95","221.00","222.80","215.25","27.61M","-2.81%"
"Mar 23, 2021","222.20","225.00","228.10","221.30","41.56M","-1.68%"
"Mar 22, 2021","226.00","223.30","226.40","221.50","46.05M","1.37%"
"Mar 19, 2021","222.95","219.00","226.15","215.55","134.18M","2.44%"
"Mar 18, 2021","217.65","213.00","219.10","211.90","91.99M","3.35%"
"Mar 17, 2021","210.60","212.20","213.90","208.55","78.58M","1.32%"
"Mar 16, 2021","207.85","206.40","208.90","204.95","48.76M","1.17%"
"Mar 15, 2021","205.45","205.85","206.00","201.60","41.12M","0.12%"
"Mar 12, 2021","205.20","208.00","208.00","203.50","30.79M","-0.63%"
"Mar 10, 2021","206.50","209.10","209.20","205.80","19.60M","-0.63%"
"Mar 09, 2021","207.80","208.70","209.75","204.75","22.59M","-0.10%"
"Mar 08, 2021","208.00","209.70","210.80","207.70","22.99M","-0.26%"
"Mar 05, 2021","208.55","208.00","210.00","207.20","17.32M","-0.55%"
"Mar 04, 2021","209.70","208.80","211.30","207.60","24.90M","-0.12%"
"Mar 03, 2021","209.95","212.00","212.00","208.80","20.85M","0.02%"
"Mar 02, 2021","209.90","207.00","210.80","206.50","25.60M","1.45%"
"Mar 01, 2021","206.90","205.45","207.75","204.05","16.23M","1.50%"
"Feb 26, 2021","203.85","207.25","208.00","203.00","43.43M","-2.53%"
"Feb 25, 2021","209.15","209.50","211.20","208.80","25.95M","0.14%"
"Feb 24, 2021","208.85","209.10","209.80","206.50","13.16M","0.17%"
"Feb 23, 2021","208.50","208.00","210.55","207.00","26.68M","0.70%"
"Feb 22, 2021","207.05","212.00","212.00","206.00","51.55M","-4.12%"
"Feb 19, 2021","215.95","218.85","218.90","214.00","28.13M","-1.33%"
"Feb 18, 2021","218.85","218.20","220.60","217.90","24.07M","0.51%"
"Feb 17, 2021","217.75","217.60","218.40","216.55","19.85M","-0.23%"
"Feb 16, 2021","218.25","219.05","221.80","217.25","29.15M","-0.16%"
"Feb 15, 2021","218.60","218.45","221.00","217.50","31.78M","0.53%"
