"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","635.40","641.00","652.80","625.85","17.93M","-0.83%"
"Apr 22, 2021","640.75","615.70","651.00","611.60","22.86M","3.25%"
"Apr 20, 2021","620.60","622.80","630.00","613.40","13.63M","0.78%"
"Apr 19, 2021","615.80","600.00","625.50","595.10","17.04M","-0.58%"
"Apr 16, 2021","619.40","631.90","635.90","616.95","14.39M","-1.54%"
"Apr 15, 2021","629.10","638.00","644.00","616.00","24.01M","-0.20%"
"Apr 13, 2021","630.35","607.00","632.80","604.00","26.09M","4.34%"
"Apr 12, 2021","604.15","609.00","621.75","597.40","27.05M","-2.71%"
"Apr 09, 2021","621.00","618.00","630.85","598.00","51.06M","1.12%"
"Apr 08, 2021","614.10","572.00","639.00","563.25","72.01M","9.21%"
"Apr 07, 2021","562.30","539.25","566.45","533.20","20.02M","4.62%"
"Apr 06, 2021","537.45","523.00","541.30","520.65","26.53M","3.86%"
"Apr 05, 2021","517.50","513.50","522.00","503.20","29.71M","1.72%"
"Apr 01, 2021","508.75","470.55","512.95","470.00","35.74M","8.60%"
"Mar 31, 2021","468.45","467.35","473.80","461.30","7.64M","0.21%"
"Mar 30, 2021","467.45","455.00","470.20","452.20","17.65M","5.00%"
"Mar 26, 2021","445.20","443.60","452.25","436.20","12.17M","1.64%"
"Mar 25, 2021","438.00","437.05","442.20","428.50","10.87M","0.15%"
"Mar 24, 2021","437.35","437.00","443.15","431.60","7.80M","-1.01%"
"Mar 23, 2021","441.80","445.00","447.25","439.50","5.07M","-0.79%"
"Mar 22, 2021","445.30","441.00","449.00","436.80","7.01M","1.08%"
"Mar 19, 2021","440.55","420.10","446.30","410.00","11.12M","4.11%"
"Mar 18, 2021","423.15","427.00","432.65","420.10","6.84M","0.15%"
"Mar 17, 2021","422.50","425.95","425.95","417.50","4.74M","-0.81%"
"Mar 16, 2021","425.95","433.95","433.95","419.35","8.10M","-0.86%"
"Mar 15, 2021","429.65","422.90","431.75","414.90","10.15M","2.60%"
"Mar 12, 2021","418.75","418.15","428.45","414.00","13.45M","1.15%"
"Mar 10, 2021","414.00","406.55","415.30","403.50","6.54M","3.09%"
"Mar 09, 2021","401.60","412.00","414.75","396.80","5.48M","-1.53%"
"Mar 08, 2021","407.85","411.95","415.50","406.50","4.18M","0.36%"
"Mar 05, 2021","406.40","414.10","414.10","402.50","7.05M","-1.86%"
"Mar 04, 2021","414.10","415.10","421.40","411.05","8.66M","-3.28%"
"Mar 03, 2021","428.15","415.30","435.00","415.30","11.90M","3.59%"
"Mar 02, 2021","413.30","406.80","414.95","401.00","5.06M","2.02%"
"Mar 01, 2021","405.10","402.60","408.45","393.35","5.83M","2.44%"
"Feb 26, 2021","395.45","412.05","421.30","392.05","11.43M","-6.24%"
"Feb 25, 2021","421.75","411.00","425.00","410.00","9.05M","3.34%"
"Feb 24, 2021","408.10","415.00","426.60","400.00","10.57M","-1.09%"
"Feb 23, 2021","412.60","410.00","416.20","406.10","8.13M","1.60%"
"Feb 22, 2021","406.10","396.15","413.85","396.15","9.37M","2.64%"
"Feb 19, 2021","395.65","408.10","408.40","390.95","4.53M","-2.94%"
"Feb 18, 2021","407.65","410.00","414.75","406.00","5.89M","-0.26%"
"Feb 17, 2021","408.70","406.35","411.00","401.00","5.49M","0.26%"
"Feb 16, 2021","407.65","403.70","421.90","403.70","10.59M","0.98%"
"Feb 15, 2021","403.70","405.10","407.85","401.00","4.68M","-0.02%"
"Feb 12, 2021","403.80","407.85","410.90","402.60","4.67M","-1.24%"
"Feb 11, 2021","408.85","408.20","415.50","404.95","3.60M","-0.46%"
"Feb 10, 2021","410.75","410.00","413.95","400.00","8.01M","1.06%"
"Feb 09, 2021","406.45","417.00","420.00","401.85","7.96M","-2.68%"
"Feb 08, 2021","417.65","404.55","419.25","401.20","9.01M","3.84%"
"Feb 05, 2021","402.20","403.00","406.60","389.15","9.01M","0.47%"
"Feb 04, 2021","400.30","392.90","402.00","390.45","6.28M","1.88%"
"Feb 03, 2021","392.90","386.20","398.45","384.70","6.06M","1.00%"
"Feb 02, 2021","389.00","384.65","391.70","376.70","7.45M","2.14%"
"Feb 01, 2021","380.85","366.50","384.40","363.65","6.14M","3.82%"
"Jan 29, 2021","366.85","382.05","382.55","363.20","7.98M","-2.51%"
"Jan 28, 2021","376.30","371.00","380.85","369.60","6.97M","0.01%"
"Jan 27, 2021","376.25","380.60","382.00","371.55","8.58M","-1.62%"
"Jan 25, 2021","382.45","388.00","394.95","371.45","17.87M","1.88%"
"Jan 22, 2021","375.40","396.00","397.45","372.20","8.78M","-4.55%"
"Jan 21, 2021","393.30","402.50","405.00","388.95","7.09M","-1.90%"
"Jan 20, 2021","400.90","395.00","402.90","393.45","5.60M","1.39%"
