"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,734.20","1,733.90","1,756.35","1,720.25","1.89M","-0.11%"
"Apr 22, 2021","1,736.05","1,689.75","1,739.75","1,669.20","3.59M","2.26%"
"Apr 20, 2021","1,697.70","1,725.00","1,733.60","1,684.35","3.32M","-0.18%"
"Apr 19, 2021","1,700.75","1,720.00","1,720.00","1,675.00","3.87M","-3.59%"
"Apr 16, 2021","1,764.10","1,774.00","1,788.15","1,760.05","2.91M","-0.52%"
"Apr 15, 2021","1,773.25","1,800.00","1,809.50","1,752.60","3.55M","-0.15%"
"Apr 13, 2021","1,775.85","1,745.80","1,786.05","1,723.45","3.12M","1.91%"
"Apr 12, 2021","1,742.50","1,757.25","1,768.00","1,723.30","3.33M","-3.15%"
"Apr 09, 2021","1,799.25","1,770.00","1,806.45","1,744.10","3.14M","0.90%"
"Apr 08, 2021","1,783.25","1,796.00","1,823.70","1,778.70","2.89M","-0.49%"
"Apr 07, 2021","1,792.00","1,766.05","1,810.70","1,745.60","3.16M","1.34%"
"Apr 06, 2021","1,768.30","1,776.00","1,781.45","1,728.70","2.87M","0.52%"
"Apr 05, 2021","1,759.20","1,786.10","1,799.60","1,734.40","2.45M","-2.51%"
"Apr 01, 2021","1,804.55","1,770.00","1,813.25","1,750.65","3.80M","2.94%"
"Mar 31, 2021","1,753.00","1,778.80","1,779.00","1,742.60","3.80M","-1.59%"
"Mar 30, 2021","1,781.25","1,782.10","1,801.95","1,775.00","5.58M","0.58%"
"Mar 26, 2021","1,771.05","1,785.00","1,792.40","1,762.75","3.31M","0.46%"
"Mar 25, 2021","1,762.90","1,792.90","1,798.80","1,745.00","4.11M","-1.10%"
"Mar 24, 2021","1,782.45","1,800.00","1,805.00","1,773.35","3.05M","-1.67%"
"Mar 23, 2021","1,812.65","1,844.00","1,844.00","1,798.85","4.25M","-0.55%"
"Mar 22, 2021","1,822.65","1,833.00","1,849.95","1,805.00","2.43M","-0.63%"
"Mar 19, 2021","1,834.15","1,818.45","1,872.00","1,814.05","4.80M","0.20%"
"Mar 18, 2021","1,830.40","1,881.00","1,892.90","1,825.10","2.20M","-2.03%"
"Mar 17, 2021","1,868.35","1,903.20","1,917.70","1,861.00","2.69M","-1.83%"
"Mar 16, 2021","1,903.20","1,925.10","1,941.70","1,900.00","2.77M","-0.81%"
"Mar 15, 2021","1,918.65","1,944.00","1,944.00","1,893.10","2.64M","-0.85%"
"Mar 12, 2021","1,935.15","1,979.00","1,980.00","1,912.00","2.62M","-1.47%"
"Mar 10, 2021","1,963.95","1,983.25","1,999.35","1,957.20","2.76M","-0.76%"
"Mar 09, 2021","1,978.95","1,917.80","1,991.00","1,917.80","7.92M","3.29%"
"Mar 08, 2021","1,915.85","1,920.00","1,947.85","1,893.30","4.70M","-0.35%"
"Mar 05, 2021","1,922.50","1,875.50","1,928.30","1,868.00","5.41M","1.31%"
"Mar 04, 2021","1,897.70","1,863.90","1,910.40","1,850.00","4.02M","-0.09%"
"Mar 03, 2021","1,899.50","1,855.00","1,908.75","1,851.20","2.88M","2.97%"
"Mar 02, 2021","1,844.65","1,845.00","1,868.40","1,820.10","3.84M","-0.04%"
"Mar 01, 2021","1,845.40","1,811.00","1,854.90","1,801.40","3.26M","3.65%"
"Feb 26, 2021","1,780.35","1,869.00","1,869.00","1,773.00","8.40M","-6.07%"
