"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,322.90","1,330.00","1,344.65","1,314.45","2.06M","-1.04%"
"Apr 22, 2021","1,336.80","1,310.00","1,339.50","1,307.25","2.40M","0.40%"
"Apr 20, 2021","1,331.50","1,320.00","1,339.45","1,317.70","2.99M","1.61%"
"Apr 19, 2021","1,310.45","1,340.00","1,346.20","1,306.00","4.16M","-3.58%"
"Apr 16, 2021","1,359.15","1,360.50","1,393.30","1,355.30","3.75M","-1.13%"
"Apr 15, 2021","1,374.65","1,378.95","1,391.10","1,358.10","2.63M","0.07%"
"Apr 13, 2021","1,373.70","1,347.25","1,382.00","1,347.25","2.06M","2.12%"
"Apr 12, 2021","1,345.15","1,393.95","1,393.95","1,332.00","3.76M","-4.20%"
"Apr 09, 2021","1,404.10","1,414.00","1,417.00","1,397.10","2.02M","-1.06%"
"Apr 08, 2021","1,419.15","1,410.00","1,434.80","1,410.00","1.64M","1.07%"
"Apr 07, 2021","1,404.15","1,402.00","1,417.20","1,389.25","1.84M","0.22%"
"Apr 06, 2021","1,401.00","1,405.90","1,416.30","1,393.30","1.82M","-0.20%"
"Apr 05, 2021","1,403.80","1,439.00","1,439.00","1,381.40","2.55M","-2.82%"
"Apr 01, 2021","1,444.60","1,432.00","1,447.85","1,420.50","1.38M","1.81%"
"Mar 31, 2021","1,418.90","1,423.60","1,431.60","1,410.40","2.40M","-0.33%"
"Mar 30, 2021","1,423.55","1,408.00","1,428.20","1,395.55","2.80M","1.81%"
"Mar 26, 2021","1,398.30","1,386.30","1,408.00","1,382.00","3.09M","1.98%"
"Mar 25, 2021","1,371.10","1,361.00","1,389.00","1,361.00","3.89M","0.14%"
"Mar 24, 2021","1,369.15","1,400.00","1,407.00","1,360.05","4.24M","-2.51%"
"Mar 23, 2021","1,404.35","1,401.90","1,416.50","1,398.10","2.56M","0.31%"
"Mar 22, 2021","1,400.05","1,409.00","1,417.40","1,392.25","2.96M","-0.79%"
"Mar 19, 2021","1,411.25","1,415.00","1,421.85","1,378.60","9.92M","-1.18%"
"Mar 18, 2021","1,428.10","1,455.55","1,469.70","1,420.00","3.38M","-0.66%"
"Mar 17, 2021","1,437.65","1,476.00","1,492.95","1,431.75","5.18M","-1.65%"
"Mar 16, 2021","1,461.80","1,488.30","1,497.00","1,457.00","3.23M","-1.48%"
"Mar 15, 2021","1,483.75","1,520.00","1,528.10","1,463.30","3.18M","-2.00%"
"Mar 12, 2021","1,514.00","1,526.30","1,565.00","1,503.15","4.89M","-0.67%"
"Mar 10, 2021","1,524.20","1,523.00","1,534.75","1,507.50","2.21M","1.05%"
"Mar 09, 2021","1,508.30","1,525.00","1,532.30","1,491.80","3.78M","-0.46%"
"Mar 08, 2021","1,515.20","1,478.00","1,525.00","1,470.00","4.15M","3.53%"
"Mar 05, 2021","1,463.55","1,453.60","1,477.20","1,439.10","3.31M","0.06%"
"Mar 04, 2021","1,462.60","1,473.00","1,494.35","1,458.00","3.53M","-2.29%"
"Mar 03, 2021","1,496.90","1,493.50","1,510.00","1,481.35","2.18M","0.76%"
"Mar 02, 2021","1,485.65","1,479.30","1,489.65","1,458.15","2.09M","0.87%"
"Mar 01, 2021","1,472.85","1,456.00","1,486.00","1,438.20","2.49M","2.10%"
"Feb 26, 2021","1,442.50","1,482.00","1,493.50","1,435.15","5.58M","-4.25%"
"Feb 25, 2021","1,506.45","1,534.00","1,540.60","1,502.00","3.17M","-1.32%"
"Feb 24, 2021","1,526.60","1,486.70","1,532.00","1,486.70","2.38M","2.71%"
"Feb 23, 2021","1,486.30","1,462.00","1,498.00","1,460.00","3.73M","2.35%"
"Feb 22, 2021","1,452.20","1,510.90","1,511.95","1,447.10","6.17M","-3.75%"
"Feb 19, 2021","1,508.80","1,523.85","1,547.00","1,498.85","3.04M","-1.04%"
"Feb 18, 2021","1,524.60","1,542.20","1,551.20","1,515.15","2.45M","-1.53%"
"Feb 17, 2021","1,548.35","1,544.00","1,567.00","1,533.00","2.34M","-0.07%"
"Feb 16, 2021","1,549.45","1,540.00","1,574.00","1,539.00","3.84M","0.77%"
"Feb 15, 2021","1,537.65","1,527.00","1,544.00","1,521.35","1.92M","1.07%"
"Feb 12, 2021","1,521.35","1,535.00","1,544.00","1,516.10","1.87M","-0.60%"
"Feb 11, 2021","1,530.50","1,549.40","1,559.90","1,526.55","2.72M","-1.44%"
"Feb 10, 2021","1,552.85","1,560.00","1,564.00","1,528.70","2.58M","-0.87%"
"Feb 09, 2021","1,566.45","1,557.00","1,574.50","1,545.00","3.83M","0.94%"
"Feb 08, 2021","1,551.80","1,521.15","1,570.00","1,520.00","5.22M","2.33%"
"Feb 05, 2021","1,516.50","1,534.40","1,547.00","1,511.10","3.27M","-0.87%"
"Feb 04, 2021","1,529.80","1,525.00","1,550.00","1,510.00","3.96M","0.08%"
"Feb 03, 2021","1,528.55","1,530.00","1,558.00","1,505.00","6.20M","0.55%"
"Feb 02, 2021","1,520.20","1,474.00","1,593.00","1,474.00","14.35M","4.92%"
"Feb 01, 2021","1,448.85","1,345.75","1,462.00","1,337.20","11.32M","8.55%"
"Jan 29, 2021","1,334.70","1,362.00","1,369.00","1,325.10","5.13M","-0.79%"
"Jan 28, 2021","1,345.35","1,344.70","1,365.10","1,340.00","2.96M","-1.07%"
"Jan 27, 2021","1,359.85","1,368.80","1,392.70","1,330.10","8.90M","-0.11%"
"Jan 25, 2021","1,361.30","1,370.00","1,396.40","1,342.00","4.85M","-0.06%"
"Jan 22, 2021","1,362.10","1,362.00","1,375.00","1,348.50","3.28M","-0.67%"
"Jan 21, 2021","1,371.30","1,395.00","1,396.00","1,361.05","2.99M","-0.82%"
"Jan 20, 2021","1,382.65","1,369.00","1,393.05","1,362.55","3.96M","0.93%"
"Jan 19, 2021","1,369.85","1,340.05","1,382.00","1,337.00","3.89M","2.53%"
"Jan 18, 2021","1,336.05","1,345.20","1,353.85","1,326.15","3.19M","-1.34%"
"Jan 15, 2021","1,354.15","1,376.70","1,384.50","1,345.05","2.59M","-1.63%"
"Jan 14, 2021","1,376.60","1,358.00","1,389.70","1,356.25","5.17M","1.78%"
"Jan 13, 2021","1,352.50","1,354.00","1,373.00","1,344.30","4.39M","0.20%"
"Jan 12, 2021","1,349.80","1,354.00","1,366.85","1,344.05","2.84M","-0.01%"
"Jan 11, 2021","1,350.00","1,382.00","1,384.95","1,345.00","3.25M","-1.70%"
"Jan 08, 2021","1,373.40","1,349.80","1,382.95","1,347.00","4.98M","2.57%"
"Jan 07, 2021","1,338.95","1,330.00","1,346.80","1,325.00","4.27M","1.90%"
"Jan 06, 2021","1,314.00","1,308.00","1,330.00","1,300.00","4.62M","0.59%"
"Jan 05, 2021","1,306.30","1,307.00","1,313.00","1,295.05","2.83M","-0.63%"
"Jan 04, 2021","1,314.60","1,305.00","1,322.55","1,302.00","4.01M","1.36%"
"Jan 01, 2021","1,297.00","1,283.00","1,299.95","1,283.00","2.06M","0.73%"
"Dec 31, 2020","1,287.60","1,293.00","1,304.00","1,282.00","3.89M","-0.34%"
"Dec 30, 2020","1,292.05","1,288.20","1,296.35","1,271.00","2.87M","0.56%"
"Dec 29, 2020","1,284.85","1,294.95","1,295.05","1,267.70","3.78M","-0.35%"
"Dec 28, 2020","1,289.40","1,275.00","1,291.00","1,266.50","3.41M","2.15%"
"Dec 24, 2020","1,262.20","1,275.00","1,281.00","1,253.50","3.28M","-0.21%"
"Dec 23, 2020","1,264.80","1,268.00","1,271.30","1,248.35","4.06M","0.17%"
"Dec 22, 2020","1,262.70","1,235.25","1,268.00","1,213.55","8.00M","2.26%"
"Dec 21, 2020","1,234.85","1,276.25","1,338.50","1,154.00","21.15M","-3.64%"
"Dec 18, 2020","1,281.55","1,283.95","1,301.00","1,270.00","10.32M","0.22%"
"Dec 17, 2020","1,278.80","1,270.00","1,284.00","1,254.05","5.35M","0.83%"
"Dec 16, 2020","1,268.25","1,256.25","1,278.00","1,247.05","5.73M","1.77%"
"Dec 15, 2020","1,246.25","1,250.00","1,252.00","1,216.10","6.95M","-0.27%"
"Dec 14, 2020","1,249.65","1,198.10","1,263.90","1,198.10","9.72M","4.63%"
"Dec 11, 2020","1,194.30","1,188.00","1,216.80","1,182.00","6.69M","0.33%"
"Dec 10, 2020","1,190.35","1,182.00","1,193.75","1,170.05","4.92M","0.79%"
"Dec 09, 2020","1,181.00","1,178.00","1,185.00","1,166.35","4.30M","0.82%"
"Dec 08, 2020","1,171.40","1,174.95","1,182.50","1,148.05","4.98M","0.15%"
"Dec 07, 2020","1,169.70","1,154.80","1,171.90","1,144.00","5.48M","1.76%"
"Dec 04, 2020","1,149.50","1,130.00","1,162.00","1,128.75","6.54M","2.16%"
"Dec 03, 2020","1,125.15","1,135.00","1,137.45","1,120.30","4.09M","1.02%"
"Dec 02, 2020","1,113.75","1,120.05","1,132.05","1,104.10","4.43M","-0.20%"
"Dec 01, 2020","1,115.95","1,140.00","1,140.00","1,111.20","3.55M","-0.57%"
"Nov 27, 2020","1,122.40","1,129.00","1,139.80","1,092.00","19.00M","0.32%"
"Nov 26, 2020","1,118.85","1,130.00","1,134.95","1,101.55","7.36M","0.26%"
"Nov 25, 2020","1,116.00","1,141.50","1,147.80","1,112.45","4.65M","-1.72%"
"Nov 24, 2020","1,135.50","1,135.00","1,144.00","1,128.30","4.62M","0.86%"
"Nov 23, 2020","1,125.85","1,138.80","1,147.85","1,122.85","5.00M","-0.57%"
"Nov 20, 2020","1,132.30","1,140.00","1,161.00","1,118.50","7.01M","-0.17%"
"Nov 19, 2020","1,134.25","1,125.05","1,177.00","1,107.70","10.84M","-1.21%"
"Nov 18, 2020","1,148.15","1,080.90","1,154.25","1,079.15","13.44M","6.22%"
"Nov 17, 2020","1,080.90","1,063.00","1,096.85","1,061.05","7.61M","2.80%"
"Nov 13, 2020","1,051.50","1,065.05","1,068.15","1,038.10","5.03M","-2.02%"
"Nov 12, 2020","1,073.20","1,054.90","1,075.85","1,052.45","6.74M","1.30%"
"Nov 11, 2020","1,059.45","1,040.00","1,062.80","1,021.25","10.25M","2.49%"
"Nov 10, 2020","1,033.70","975.00","1,036.90","971.60","12.15M","7.02%"
"Nov 09, 2020","965.85","971.00","974.60","962.40","3.04M","0.53%"
"Nov 06, 2020","960.75","959.00","967.50","950.10","3.42M","0.28%"
"Nov 05, 2020","958.10","952.00","959.80","944.30","2.89M","1.94%"
"Nov 04, 2020","939.85","934.25","950.65","930.00","3.37M","-0.83%"
"Nov 03, 2020","947.75","944.90","952.90","932.50","4.05M","1.99%"
"Nov 02, 2020","929.30","930.00","937.95","920.65","3.68M","-0.02%"
"Oct 30, 2020","929.50","941.00","946.80","924.20","4.80M","-0.54%"
"Oct 29, 2020","934.50","951.10","958.80","926.00","11.85M","-4.92%"
"Oct 28, 2020","982.85","989.95","994.65","974.20","7.37M","0.09%"
"Oct 27, 2020","981.95","960.00","986.00","955.15","9.64M","3.17%"
"Oct 26, 2020","951.75","949.85","959.25","943.00","6.98M","1.12%"
"Oct 23, 2020","941.25","940.00","948.50","928.00","5.10M","0.53%"
"Oct 22, 2020","936.30","922.00","939.00","920.15","6.15M","1.28%"
"Oct 21, 2020","924.45","924.95","931.00","908.65","6.39M","0.78%"
"Oct 20, 2020","917.30","919.00","935.50","913.00","13.19M","1.59%"
