"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","6,676.10","6,560.00","6,714.70","6,560.00","709.31K","0.39%"
"Apr 22, 2021","6,650.10","6,625.95","6,674.90","6,545.00","667.91K","0.05%"
"Apr 20, 2021","6,646.65","6,615.00","6,678.70","6,558.55","914.14K","2.07%"
"Apr 19, 2021","6,511.75","6,500.35","6,530.00","6,415.00","772.22K","-2.05%"
"Apr 16, 2021","6,648.10","6,675.00","6,784.85","6,606.05","1.00M","0.06%"
"Apr 15, 2021","6,644.25","6,846.60","6,846.85","6,551.00","1.27M","-2.52%"
"Apr 13, 2021","6,815.80","6,520.00","6,845.40","6,468.80","995.72K","4.53%"
"Apr 12, 2021","6,520.60","6,739.85","6,739.85","6,502.15","1.02M","-4.49%"
"Apr 09, 2021","6,827.10","6,850.00","6,875.25","6,778.00","641.33K","0.00%"
"Apr 08, 2021","6,826.85","6,881.00","6,939.30","6,806.85","604.55K","-0.56%"
"Apr 07, 2021","6,865.00","6,790.00","6,885.00","6,775.05","598.12K","1.68%"
"Apr 06, 2021","6,751.30","6,818.25","6,846.95","6,720.00","628.26K","-0.25%"
"Apr 05, 2021","6,768.55","6,908.50","6,908.50","6,724.60","668.13K","-2.24%"
"Apr 01, 2021","6,923.90","6,950.00","6,991.50","6,855.00","660.76K","0.94%"
"Mar 31, 2021","6,859.20","6,852.30","6,939.90","6,795.20","735.38K","0.11%"
"Mar 30, 2021","6,851.80","6,811.00","6,875.00","6,740.00","1.09M","0.99%"
"Mar 26, 2021","6,784.45","6,889.00","6,898.95","6,771.00","911.30K","-0.04%"
"Mar 25, 2021","6,786.85","7,050.00","7,059.00","6,755.25","1.34M","-3.95%"
"Mar 24, 2021","7,066.20","7,136.00","7,158.40","7,049.95","457.15K","-1.67%"
"Mar 23, 2021","7,186.25","7,138.00","7,225.00","7,130.00","757.59K","1.20%"
"Mar 22, 2021","7,101.25","7,104.00","7,142.50","7,050.20","533.77K","-0.17%"
"Mar 19, 2021","7,113.55","7,059.95","7,149.95","6,905.50","838.76K","-0.00%"
"Mar 18, 2021","7,113.75","7,125.00","7,242.00","7,060.00","984.55K","0.70%"
"Mar 17, 2021","7,064.65","7,160.00","7,169.95","7,043.50","688.58K","-1.20%"
"Mar 16, 2021","7,150.30","7,100.00","7,200.00","7,100.00","796.36K","0.86%"
"Mar 15, 2021","7,089.30","7,145.00","7,162.95","7,011.00","700.31K","-0.10%"
"Mar 12, 2021","7,096.20","7,300.00","7,313.00","7,061.40","946.72K","-2.42%"
"Mar 10, 2021","7,272.10","7,320.00","7,387.00","7,251.00","659.27K","-0.40%"
"Mar 09, 2021","7,301.55","7,329.40","7,329.40","7,256.00","678.49K","0.58%"
"Mar 08, 2021","7,259.50","7,264.90","7,338.80","7,216.00","977.57K","0.14%"
"Mar 05, 2021","7,249.00","7,130.00","7,315.00","7,070.00","1.82M","1.65%"
