"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","211.15","204.30","212.90","204.00","21.55M","3.78%"
"Apr 22, 2021","203.45","204.00","204.90","201.20","6.54M","-0.12%"
"Apr 20, 2021","203.70","205.00","205.70","201.65","8.14M","1.24%"
"Apr 19, 2021","201.20","205.85","207.00","200.00","10.35M","-4.12%"
"Apr 16, 2021","209.85","207.50","214.80","207.25","12.39M","0.99%"
"Apr 15, 2021","207.80","207.90","211.40","207.05","5.71M","-0.46%"
"Apr 13, 2021","208.75","205.15","209.40","202.45","11.15M","3.78%"
"Apr 12, 2021","201.15","206.65","206.65","198.50","10.43M","-3.43%"
"Apr 09, 2021","208.30","209.40","211.45","208.00","6.62M","-0.33%"
"Apr 08, 2021","209.00","211.95","213.50","208.50","11.51M","-0.74%"
"Apr 07, 2021","210.55","210.90","216.20","209.55","12.85M","0.65%"
"Apr 06, 2021","209.20","215.20","219.00","208.50","14.23M","-2.31%"
"Apr 05, 2021","214.15","215.20","219.00","213.35","8.15M","-2.08%"
"Apr 01, 2021","218.70","216.65","219.35","214.75","6.32M","1.41%"
"Mar 31, 2021","215.65","219.90","221.10","214.65","11.64M","-2.58%"
"Mar 30, 2021","221.35","216.90","223.70","215.40","30.00M","3.15%"
"Mar 26, 2021","214.60","219.35","222.00","212.15","14.17M","-0.83%"
"Mar 25, 2021","216.40","221.05","223.40","215.35","11.40M","-2.10%"
"Mar 24, 2021","221.05","217.05","223.90","216.90","13.72M","0.94%"
"Mar 23, 2021","219.00","223.55","224.00","218.50","21.63M","-2.04%"
"Mar 22, 2021","223.55","234.40","234.40","222.20","16.41M","-2.89%"
"Mar 19, 2021","230.20","221.90","232.10","219.15","39.56M","4.14%"
"Mar 18, 2021","221.05","221.00","223.50","220.15","8.01M","0.27%"
"Mar 17, 2021","220.45","224.95","225.00","219.35","7.07M","-1.78%"
"Mar 16, 2021","224.45","225.15","227.20","223.50","8.31M","0.13%"
"Mar 15, 2021","224.15","221.00","226.50","219.75","16.93M","1.86%"
"Mar 12, 2021","220.05","215.70","220.90","215.40","10.22M","2.28%"
"Mar 10, 2021","215.15","218.00","218.95","214.00","6.00M","-0.39%"
"Mar 09, 2021","216.00","220.50","222.10","213.25","7.08M","-1.89%"
"Mar 08, 2021","220.15","217.85","223.90","217.00","8.86M","-0.05%"
"Mar 05, 2021","220.25","226.00","226.00","219.35","9.76M","-2.18%"
"Mar 04, 2021","225.15","223.05","229.95","223.05","12.86M","-1.03%"
"Mar 03, 2021","227.50","230.00","230.15","223.70","10.88M","1.09%"
"Mar 02, 2021","225.05","229.00","229.35","223.35","10.25M","-0.97%"
"Mar 01, 2021","227.25","217.50","228.80","217.40","17.69M","6.04%"
"Feb 26, 2021","214.30","221.50","227.25","211.20","21.41M","-5.82%"
"Feb 25, 2021","227.55","223.70","232.80","220.80","17.27M","2.15%"
"Feb 24, 2021","222.75","226.15","228.20","221.60","6.42M","-1.48%"
"Feb 23, 2021","226.10","225.75","229.10","224.65","10.29M","0.51%"
"Feb 22, 2021","224.95","232.45","233.90","223.60","14.51M","-3.12%"
"Feb 19, 2021","232.20","233.50","236.10","228.75","20.44M","-1.82%"
"Feb 18, 2021","236.50","231.00","238.30","228.50","24.91M","2.80%"
"Feb 17, 2021","230.05","225.50","231.20","222.20","21.96M","2.00%"
"Feb 16, 2021","225.55","213.40","229.90","213.30","45.11M","6.17%"
"Feb 15, 2021","212.45","214.00","215.45","211.55","4.84M","-0.09%"
"Feb 12, 2021","212.65","219.00","219.00","210.55","14.10M","-0.51%"
"Feb 11, 2021","213.75","208.85","214.80","208.35","11.53M","1.57%"
"Feb 10, 2021","210.45","210.55","214.00","207.00","19.23M","-0.14%"
"Feb 09, 2021","210.75","210.00","217.45","210.00","15.60M","-0.85%"
"Feb 08, 2021","212.55","206.50","213.40","205.70","16.00M","2.63%"
"Feb 05, 2021","207.10","205.65","208.30","201.25","16.17M","0.85%"
"Feb 04, 2021","205.35","206.50","207.65","204.20","13.23M","-0.56%"
"Feb 03, 2021","206.50","194.50","210.00","194.50","41.29M","6.33%"
"Feb 02, 2021","194.20","191.00","195.65","189.20","6.08M","2.81%"
"Feb 01, 2021","188.90","184.45","189.45","182.50","5.34M","2.41%"
"Jan 29, 2021","184.45","188.70","189.00","183.00","7.55M","-1.52%"
"Jan 28, 2021","187.30","190.95","190.95","185.80","9.04M","-2.63%"
"Jan 27, 2021","192.35","190.00","194.35","189.30","10.62M","1.13%"
"Jan 25, 2021","190.20","194.45","196.80","189.60","5.28M","-2.06%"
"Jan 22, 2021","194.20","195.00","196.30","193.00","9.41M","-0.49%"
"Jan 21, 2021","195.15","196.45","197.70","194.15","7.04M","-0.51%"
"Jan 20, 2021","196.15","200.00","200.60","195.15","11.90M","-1.75%"
"Jan 19, 2021","199.65","195.55","200.00","195.25","10.90M","1.99%"
"Jan 18, 2021","195.75","201.25","202.00","194.55","14.69M","-3.57%"
"Jan 15, 2021","203.00","203.95","205.75","202.50","7.61M","-1.02%"
"Jan 14, 2021","205.10","205.95","207.50","203.60","6.76M","0.05%"
"Jan 13, 2021","205.00","203.80","206.60","202.60","13.38M","0.64%"
"Jan 12, 2021","203.70","201.05","204.75","199.95","17.69M","0.07%"
"Jan 11, 2021","203.55","204.00","205.00","201.45","7.16M","0.00%"
"Jan 08, 2021","203.55","198.75","204.00","197.55","16.59M","3.30%"
"Jan 07, 2021","197.05","198.00","201.80","195.50","22.57M","0.46%"
"Jan 06, 2021","196.15","188.00","197.60","187.00","30.52M","4.34%"
"Jan 05, 2021","188.00","189.50","189.50","186.20","5.89M","-0.24%"
"Jan 04, 2021","188.45","190.00","190.40","188.00","4.01M","-0.55%"
"Jan 01, 2021","189.50","189.00","189.90","188.50","1.73M","-0.18%"
"Dec 31, 2020","189.85","190.50","191.00","188.05","13.09M","-0.18%"
"Dec 30, 2020","190.20","190.00","190.65","186.80","10.76M","0.26%"
"Dec 29, 2020","189.70","191.60","192.65","189.00","4.81M","-0.97%"
"Dec 28, 2020","191.55","190.20","192.30","190.00","3.87M","0.82%"
"Dec 24, 2020","190.00","190.25","192.25","189.45","7.28M","0.03%"
"Dec 23, 2020","189.95","191.50","191.70","189.00","5.53M","-0.18%"
"Dec 22, 2020","190.30","185.45","191.05","185.00","13.46M","2.59%"
"Dec 21, 2020","185.50","193.00","193.20","184.45","12.16M","-4.33%"
"Dec 18, 2020","193.90","193.30","194.80","192.05","11.42M","0.31%"
"Dec 17, 2020","193.30","193.30","195.40","191.60","12.97M","-1.48%"
"Dec 16, 2020","196.20","194.70","196.85","192.55","19.70M","1.76%"
"Dec 15, 2020","192.80","194.40","194.70","191.35","9.05M","-0.77%"
"Dec 14, 2020","194.30","196.00","197.00","192.80","11.43M","0.62%"
"Dec 11, 2020","193.10","194.00","195.25","192.15","8.37M","0.18%"
"Dec 10, 2020","192.75","193.00","195.40","191.50","7.66M","0.03%"
"Dec 09, 2020","192.70","192.90","194.75","191.10","10.52M","0.57%"
