"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,647.25","1,654.30","1,669.45","1,635.00","706.75K","-0.56%"
"Apr 22, 2021","1,656.55","1,693.75","1,693.75","1,651.00","1.20M","-2.78%"
"Apr 20, 2021","1,704.00","1,690.00","1,758.35","1,680.00","1.40M","2.47%"
"Apr 19, 2021","1,663.00","1,676.00","1,686.85","1,626.25","618.65K","-3.32%"
"Apr 16, 2021","1,720.05","1,716.00","1,751.70","1,703.85","556.77K","0.21%"
"Apr 15, 2021","1,716.50","1,715.00","1,738.00","1,682.10","714.23K","0.14%"
"Apr 13, 2021","1,714.10","1,632.90","1,728.00","1,632.90","1.36M","5.15%"
"Apr 12, 2021","1,630.10","1,768.00","1,768.00","1,607.10","1.42M","-9.90%"
"Apr 09, 2021","1,809.20","1,799.50","1,849.00","1,781.70","1.05M","0.39%"
"Apr 08, 2021","1,802.25","1,796.00","1,826.45","1,777.00","727.03K","1.07%"
"Apr 07, 2021","1,783.10","1,751.50","1,800.00","1,750.85","626.89K","1.88%"
"Apr 06, 2021","1,750.20","1,744.95","1,781.45","1,737.45","614.34K","0.35%"
"Apr 05, 2021","1,744.05","1,797.00","1,797.00","1,690.00","878.70K","-2.01%"
"Apr 01, 2021","1,779.80","1,777.40","1,819.55","1,761.80","1.62M","1.52%"
"Mar 31, 2021","1,753.15","1,765.00","1,853.45","1,741.65","2.08M","-0.65%"
"Mar 30, 2021","1,764.70","1,833.90","1,841.80","1,757.95","1.02M","-2.20%"
"Mar 26, 2021","1,804.35","1,823.00","1,829.95","1,776.00","1.33M","0.63%"
"Mar 25, 2021","1,793.00","1,830.00","1,851.75","1,751.60","1.09M","-2.80%"
"Mar 24, 2021","1,844.65","1,890.30","1,909.20","1,835.20","582.45K","-3.46%"
"Mar 23, 2021","1,910.70","1,902.00","1,937.00","1,889.00","879.95K","0.76%"
"Mar 22, 2021","1,896.25","1,889.00","1,919.05","1,865.70","748.61K","0.38%"
"Mar 19, 2021","1,889.05","1,825.00","1,902.95","1,777.00","1.22M","2.70%"
"Mar 18, 2021","1,839.35","1,810.75","1,885.00","1,810.75","1.49M","1.64%"
"Mar 17, 2021","1,809.70","1,885.75","1,885.75","1,798.65","617.94K","-3.55%"
"Mar 16, 2021","1,876.35","1,881.90","1,889.80","1,852.20","716.92K","0.70%"
"Mar 15, 2021","1,863.25","1,915.00","1,922.30","1,821.00","935.53K","-2.26%"
"Mar 12, 2021","1,906.30","1,970.00","1,979.80","1,883.00","1.13M","-2.63%"
"Mar 10, 2021","1,957.80","1,931.00","1,972.00","1,892.80","713.98K","2.60%"
"Mar 09, 2021","1,908.15","1,947.45","1,947.45","1,869.00","765.74K","-0.46%"
