"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","34.00","33.50","34.70","33.40","122.18M","0.29%"
"Apr 22, 2021","33.90","33.20","34.15","33.05","100.46M","0.59%"
"Apr 20, 2021","33.70","34.00","34.20","33.40","117.37M","1.66%"
"Apr 19, 2021","33.15","33.60","33.80","32.50","122.30M","-4.74%"
"Apr 16, 2021","34.80","35.00","35.40","34.50","100.39M","0.14%"
"Apr 15, 2021","34.75","34.60","35.35","34.15","115.66M","-1.00%"
"Apr 13, 2021","35.10","34.00","35.30","33.65","147.77M","3.39%"
"Apr 12, 2021","33.95","36.75","36.85","33.30","184.41M","-10.30%"
"Apr 09, 2021","37.85","37.35","39.00","37.20","130.29M","1.07%"
"Apr 08, 2021","37.45","37.75","38.10","37.35","68.36M","-0.40%"
"Apr 07, 2021","37.60","37.05","38.10","36.85","96.17M","1.48%"
"Apr 06, 2021","37.05","36.95","37.55","36.25","94.33M","0.27%"
"Apr 05, 2021","36.95","38.55","38.55","36.20","103.94M","-3.27%"
"Apr 01, 2021","38.20","37.00","38.50","36.80","100.01M","4.23%"
"Mar 31, 2021","36.65","36.10","37.65","35.75","117.40M","1.38%"
"Mar 30, 2021","36.15","36.40","36.70","35.80","94.89M","0.42%"
"Mar 26, 2021","36.00","36.20","36.40","35.70","100.72M","1.41%"
"Mar 25, 2021","35.50","37.00","37.00","34.80","190.75M","-4.05%"
"Mar 24, 2021","37.00","38.65","39.05","36.75","118.08M","-4.52%"
"Mar 23, 2021","38.75","37.85","39.20","37.80","108.05M","2.11%"
"Mar 22, 2021","37.95","38.45","38.55","37.50","94.39M","-1.30%"
"Mar 19, 2021","38.45","37.20","38.75","36.35","135.99M","1.99%"
"Mar 18, 2021","37.70","39.00","39.10","36.65","126.24M","-1.82%"
"Mar 17, 2021","38.40","39.85","39.95","38.05","89.30M","-3.52%"
"Mar 16, 2021","39.80","41.00","41.40","39.60","99.77M","-2.45%"
"Mar 15, 2021","40.80","41.05","41.10","39.75","83.78M","-0.61%"
"Mar 12, 2021","41.05","41.85","41.95","40.70","59.21M","-1.08%"
"Mar 10, 2021","41.50","42.00","42.25","41.30","48.97M","-0.24%"
"Mar 09, 2021","41.60","41.95","42.35","40.75","77.36M","-0.36%"
"Mar 08, 2021","41.75","42.20","42.85","41.60","89.99M","0.12%"
"Mar 05, 2021","41.70","43.60","43.60","41.30","129.77M","-4.36%"
"Mar 04, 2021","43.60","43.00","44.30","42.45","215.07M","0.11%"
"Mar 03, 2021","43.55","41.40","43.90","41.25","238.14M","6.22%"
"Mar 02, 2021","41.00","41.15","41.65","40.70","115.36M","0.49%"
"Mar 01, 2021","40.80","41.40","41.45","40.55","120.92M","-0.12%"
"Feb 26, 2021","40.85","41.00","41.70","40.35","191.70M","-2.51%"
"Feb 25, 2021","41.90","42.25","42.65","41.75","133.29M","0.24%"
"Feb 24, 2021","41.80","41.45","42.10","41.25","76.64M","1.95%"
"Feb 23, 2021","41.00","41.30","42.20","40.65","217.94M","-0.12%"
"Feb 22, 2021","41.05","42.55","42.85","40.20","207.91M","-2.38%"
"Feb 19, 2021","42.05","44.25","46.35","41.20","429.88M","-4.00%"
"Feb 18, 2021","43.80","42.00","44.30","41.80","365.12M","5.04%"
"Feb 17, 2021","41.70","39.50","42.50","39.30","466.58M","5.57%"
"Feb 16, 2021","39.50","40.00","40.65","39.10","187.52M","-0.13%"
"Feb 15, 2021","39.55","39.25","40.05","39.00","127.93M","1.93%"
"Feb 12, 2021","38.80","39.00","39.65","38.40","158.52M","0.13%"
"Feb 11, 2021","38.75","39.45","40.10","38.60","151.51M","-1.77%"
"Feb 10, 2021","39.45","38.80","39.95","38.65","213.08M","1.02%"
"Feb 09, 2021","39.05","38.25","41.05","37.35","376.63M","2.76%"
"Feb 08, 2021","38.00","40.95","41.20","37.75","208.19M","-5.35%"
"Feb 05, 2021","40.15","41.30","42.75","39.70","329.09M","-0.86%"
"Feb 04, 2021","40.50","38.50","41.00","38.00","384.81M","5.61%"
"Feb 03, 2021","38.35","36.45","38.75","35.70","260.98M","5.94%"
"Feb 02, 2021","36.20","36.10","36.85","35.55","199.83M","1.26%"
"Feb 01, 2021","35.75","33.75","36.00","33.10","200.15M","7.20%"
"Jan 29, 2021","33.35","33.00","34.40","32.50","125.61M","2.46%"
"Jan 28, 2021","32.55","33.00","33.10","31.90","130.28M","-2.40%"
"Jan 27, 2021","33.35","34.10","34.25","33.05","69.78M","-2.34%"
"Jan 25, 2021","34.15","35.00","35.10","33.50","83.48M","-1.16%"
"Jan 22, 2021","34.55","35.80","36.05","34.20","133.65M","-3.09%"
"Jan 21, 2021","35.65","37.10","37.40","35.25","126.28M","-3.52%"
"Jan 20, 2021","36.95","36.75","37.30","36.30","132.23M","1.23%"
"Jan 19, 2021","36.50","35.95","36.75","35.50","109.01M","2.96%"
"Jan 18, 2021","35.45","36.00","36.55","35.10","113.00M","-1.39%"
"Jan 15, 2021","35.95","37.00","37.50","35.50","142.84M","-2.84%"
"Jan 14, 2021","37.00","36.75","37.80","36.40","184.17M","1.09%"
"Jan 13, 2021","36.60","37.00","37.20","35.25","227.45M","0.27%"
"Jan 12, 2021","36.50","34.70","36.95","34.30","183.66M","4.58%"
"Jan 11, 2021","34.90","35.80","35.80","34.55","76.60M","-1.41%"
"Jan 08, 2021","35.40","35.65","35.90","35.10","80.66M","-0.14%"
"Jan 07, 2021","35.45","35.80","36.00","35.35","94.88M","0.71%"
"Jan 06, 2021","35.20","35.80","36.40","34.75","202.33M","-1.12%"
"Jan 05, 2021","35.60","35.00","35.70","34.70","142.23M","0.14%"
"Jan 04, 2021","35.55","35.40","35.75","34.25","213.60M","2.16%"
"Jan 01, 2021","34.80","33.30","34.95","33.10","227.53M","5.30%"
"Dec 31, 2020","33.05","32.80","33.35","32.40","189.39M","0.92%"
"Dec 30, 2020","32.75","33.70","33.70","32.35","92.60M","-1.36%"
"Dec 29, 2020","33.20","32.90","34.15","32.80","160.16M","2.47%"
"Dec 28, 2020","32.40","31.85","32.90","31.50","145.99M","3.02%"
"Dec 24, 2020","31.45","32.20","32.60","31.40","111.19M","-1.10%"
"Dec 23, 2020","31.80","32.10","32.75","31.70","178.24M","-4.79%"
"Dec 22, 2020","33.40","33.85","34.75","31.70","118.46M","-2.05%"
"Dec 21, 2020","34.10","36.00","36.85","33.00","73.37M","-6.70%"
"Dec 18, 2020","36.55","37.15","37.15","35.65","63.98M","-1.22%"
"Dec 17, 2020","37.00","38.15","38.35","36.75","66.87M","-2.50%"
"Dec 16, 2020","37.95","39.60","39.60","37.25","214.70M","-6.53%"
"Dec 15, 2020","40.60","41.25","41.30","39.70","56.93M","-1.58%"
"Dec 14, 2020","41.25","41.00","41.50","40.70","52.12M","1.85%"
"Dec 11, 2020","40.50","38.60","41.40","38.60","116.54M","5.47%"
"Dec 10, 2020","38.40","39.40","39.40","38.10","63.38M","-2.54%"
"Dec 09, 2020","39.40","42.20","42.65","39.15","216.96M","-2.96%"
"Dec 08, 2020","40.60","36.00","41.10","35.90","227.31M","13.57%"
"Dec 07, 2020","35.75","35.60","36.40","35.40","82.84M","0.28%"
"Dec 04, 2020","35.65","36.25","36.70","34.75","120.21M","-0.42%"
"Dec 03, 2020","35.80","34.35","36.05","34.15","90.40M","5.45%"
"Dec 02, 2020","33.95","34.55","35.05","33.50","77.16M","-1.45%"
"Dec 01, 2020","34.45","33.90","34.65","33.30","58.49M","2.99%"
"Nov 27, 2020","33.45","32.15","34.15","32.05","71.95M","4.37%"
"Nov 26, 2020","32.05","31.40","32.20","30.90","48.08M","2.23%"
"Nov 25, 2020","31.35","30.65","32.60","30.55","99.62M","3.13%"
"Nov 24, 2020","30.40","30.30","30.60","29.80","30.47M","1.16%"
"Nov 23, 2020","30.05","29.95","30.15","29.75","21.91M","0.84%"
"Nov 20, 2020","29.80","29.95","30.20","29.55","23.62M","-0.67%"
"Nov 19, 2020","30.00","30.85","30.85","29.75","29.65M","-2.76%"
"Nov 18, 2020","30.85","29.80","31.25","29.60","78.37M","3.35%"
"Nov 17, 2020","29.85","29.60","30.20","29.40","30.88M","1.19%"
"Nov 13, 2020","29.50","29.15","29.55","28.35","33.74M","1.37%"
"Nov 12, 2020","29.10","29.25","29.50","28.90","27.20M","-0.51%"
"Nov 11, 2020","29.25","29.80","30.30","28.85","49.28M","-1.18%"
"Nov 10, 2020","29.60","28.90","29.80","28.60","46.49M","3.50%"
"Nov 09, 2020","28.60","27.95","28.90","27.85","48.17M","3.06%"
"Nov 06, 2020","27.75","27.75","28.20","27.60","32.38M","0.18%"
"Nov 05, 2020","27.70","27.70","28.15","27.40","34.17M","0.91%"
"Nov 04, 2020","27.45","27.90","27.95","26.95","46.81M","-1.26%"
"Nov 03, 2020","27.80","28.05","28.35","27.30","72.40M","-0.54%"
"Nov 02, 2020","27.95","27.10","28.40","26.75","53.64M","4.49%"
"Oct 30, 2020","26.75","26.80","27.20","26.50","25.77M","0.56%"
"Oct 29, 2020","26.60","27.00","27.00","26.30","34.00M","-1.85%"
"Oct 28, 2020","27.10","27.45","27.65","26.95","29.35M","-0.91%"
"Oct 27, 2020","27.35","28.00","28.00","27.05","37.30M","-2.32%"
"Oct 26, 2020","28.00","27.55","28.25","27.45","32.46M","2.19%"
"Oct 23, 2020","27.40","27.40","27.50","27.20","10.79M","0.74%"
"Oct 22, 2020","27.20","27.20","27.40","27.15","11.31M","0.00%"
"Oct 21, 2020","27.20","27.50","27.80","27.05","22.43M","-0.55%"
"Oct 20, 2020","27.35","27.90","27.90","27.25","19.90M","-2.15%"
"Oct 19, 2020","27.95","27.75","28.05","27.60","23.52M","1.82%"
"Oct 16, 2020","27.45","27.80","27.95","27.35","17.65M","-0.90%"
"Oct 15, 2020","27.70","28.35","28.55","27.50","18.35M","-1.60%"
"Oct 14, 2020","28.15","27.80","28.35","27.50","32.33M","1.08%"
"Oct 13, 2020","27.85","28.40","28.50","27.75","25.02M","-2.11%"
"Oct 12, 2020","28.45","29.30","29.75","28.25","33.40M","-1.56%"
"Oct 09, 2020","28.90","28.00","29.00","27.65","41.07M","3.96%"
"Oct 08, 2020","27.80","28.05","28.70","27.75","31.58M","0.18%"
"Oct 07, 2020","27.75","28.35","28.55","27.65","33.25M","-2.12%"
"Oct 06, 2020","28.35","28.45","28.60","28.10","25.19M","0.18%"
"Oct 05, 2020","28.30","28.40","28.85","28.05","35.38M","1.07%"
"Oct 01, 2020","28.00","27.80","29.00","27.70","62.18M","-1.93%"
"Sep 30, 2020","28.55","29.00","29.00","28.30","26.59M","-1.89%"
"Sep 29, 2020","29.10","30.20","30.40","28.70","30.26M","-3.48%"
"Sep 28, 2020","30.15","29.50","30.25","29.20","20.89M","3.79%"
"Sep 25, 2020","29.05","28.25","29.25","27.65","31.74M","3.57%"
"Sep 24, 2020","28.05","28.95","29.10","27.95","26.29M","-4.43%"
"Sep 23, 2020","29.35","30.50","30.50","28.90","37.10M","-2.33%"
"Sep 22, 2020","30.05","30.75","30.80","29.50","30.89M","-1.96%"
"Sep 21, 2020","30.65","32.55","32.60","30.40","28.36M","-5.98%"
"Sep 18, 2020","32.60","33.35","33.45","32.35","26.48M","-1.95%"
"Sep 17, 2020","33.25","33.25","33.55","33.00","14.16M","-1.04%"
"Sep 16, 2020","33.60","33.35","33.70","32.75","26.13M","0.90%"
"Sep 15, 2020","33.30","33.95","33.95","33.00","23.92M","-0.89%"
"Sep 14, 2020","33.60","33.80","34.05","33.35","13.83M","-0.30%"
"Sep 11, 2020","33.70","33.30","33.85","33.30","11.54M","0.45%"
"Sep 10, 2020","33.55","33.20","33.65","33.15","13.59M","1.98%"
"Sep 09, 2020","32.90","33.00","33.30","32.55","14.72M","-2.23%"
"Sep 08, 2020","33.65","33.80","34.00","33.40","13.25M","-0.44%"
"Sep 07, 2020","33.80","33.85","34.05","33.50","16.54M","0.45%"
"Sep 04, 2020","33.65","33.80","34.20","33.50","20.52M","-2.46%"
"Sep 03, 2020","34.50","34.90","35.05","34.40","13.93M","-0.86%"
"Sep 02, 2020","34.80","35.00","35.15","34.15","29.20M","0.29%"
"Sep 01, 2020","34.70","35.20","35.75","33.80","42.21M","-1.00%"
"Aug 31, 2020","35.05","38.20","38.60","34.70","76.00M","-5.40%"
"Aug 28, 2020","37.05","35.50","37.40","35.50","85.97M","4.96%"
"Aug 27, 2020","35.30","35.40","36.45","35.15","44.76M","-0.28%"
"Aug 26, 2020","35.40","35.65","35.70","35.20","18.54M","0.57%"
"Aug 25, 2020","35.20","35.30","35.65","35.10","24.16M","-0.28%"
"Aug 24, 2020","35.30","36.45","36.60","34.90","38.11M","-0.98%"
"Aug 21, 2020","35.65","35.25","36.70","35.25","68.76M","1.57%"
"Aug 20, 2020","35.10","34.00","35.25","33.60","45.63M","2.63%"
"Aug 19, 2020","34.20","34.25","34.60","33.70","64.99M","4.11%"
"Aug 18, 2020","32.85","32.55","33.00","32.20","25.20M","1.23%"
"Aug 17, 2020","32.45","32.55","32.60","31.85","21.85M","0.62%"
"Aug 14, 2020","32.25","33.50","33.50","31.95","27.20M","-3.01%"
"Aug 13, 2020","33.25","34.00","34.30","32.90","24.30M","-1.63%"
"Aug 12, 2020","33.80","33.00","34.70","33.00","60.05M","2.89%"
"Aug 11, 2020","32.85","32.80","33.10","32.50","16.08M","0.00%"
"Aug 10, 2020","32.85","33.00","33.30","32.70","18.27M","0.15%"
"Aug 07, 2020","32.80","32.50","32.95","32.25","18.26M","1.39%"
"Aug 06, 2020","32.35","32.60","32.90","32.25","21.23M","-0.77%"
"Aug 05, 2020","32.60","32.65","33.15","32.45","17.79M","0.31%"
"Aug 04, 2020","32.50","32.85","32.90","32.05","21.12M","-1.22%"
"Aug 03, 2020","32.90","32.00","33.35","31.85","36.46M","2.97%"
"Jul 31, 2020","31.95","31.90","32.15","31.25","30.72M","0.63%"
"Jul 30, 2020","31.75","32.80","33.10","31.65","26.80M","-3.05%"
"Jul 29, 2020","32.75","32.10","33.55","32.10","28.07M","2.02%"
"Jul 28, 2020","32.10","32.35","32.65","31.75","24.37M","-0.62%"
"Jul 27, 2020","32.30","33.65","33.65","32.25","22.87M","-3.73%"
"Jul 24, 2020","33.55","34.10","34.20","33.15","21.00M","-2.19%"
"Jul 23, 2020","34.30","34.10","34.70","34.05","18.34M","0.15%"
"Jul 22, 2020","34.25","34.85","35.10","33.90","26.18M","-1.44%"
"Jul 21, 2020","34.75","34.95","35.20","34.30","25.34M","0.58%"
"Jul 20, 2020","34.55","33.90","34.75","33.60","19.42M","2.83%"
"Jul 17, 2020","33.60","33.45","33.80","33.20","15.74M","1.05%"
"Jul 16, 2020","33.25","33.00","33.45","32.25","17.81M","0.76%"
