"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","5,066.70","5,228.00","5,266.15","5,030.10","2.35M","-2.56%"
"Apr 22, 2021","5,199.85","5,179.95","5,290.00","5,159.00","2.42M","0.84%"
"Apr 20, 2021","5,156.75","5,100.00","5,210.75","5,089.50","3.48M","3.80%"
"Apr 19, 2021","4,968.10","4,893.00","5,005.00","4,807.05","1.84M","1.53%"
"Apr 16, 2021","4,893.25","4,863.80","4,940.00","4,815.20","1.20M","0.98%"
"Apr 15, 2021","4,845.55","4,842.90","4,875.05","4,785.00","1.39M","1.43%"
"Apr 13, 2021","4,777.30","5,144.70","5,144.70","4,751.10","3.94M","-4.40%"
"Apr 12, 2021","4,996.95","4,775.00","5,120.00","4,695.00","3.51M","4.97%"
"Apr 09, 2021","4,760.30","4,692.90","4,794.00","4,691.25","1.36M","1.52%"
"Apr 08, 2021","4,689.05","4,692.75","4,756.00","4,661.20","660.64K","-0.08%"
"Apr 07, 2021","4,692.65","4,662.30","4,734.00","4,641.00","1.11M","1.59%"
"Apr 06, 2021","4,619.25","4,559.00","4,639.90","4,542.00","742.29K","1.37%"
"Apr 05, 2021","4,556.60","4,560.00","4,584.00","4,423.90","732.26K","-0.68%"
"Apr 01, 2021","4,587.65","4,550.00","4,594.95","4,522.05","647.64K","1.59%"
"Mar 31, 2021","4,516.00","4,510.00","4,546.70","4,481.00","772.51K","-0.05%"
"Mar 30, 2021","4,518.20","4,429.95","4,527.45","4,421.05","866.35K","2.55%"
"Mar 26, 2021","4,406.00","4,420.00","4,423.00","4,347.70","725.32K","0.58%"
"Mar 25, 2021","4,380.55","4,350.00","4,402.15","4,284.75","941.42K","0.69%"
"Mar 24, 2021","4,350.50","4,350.25","4,419.00","4,331.35","782.40K","-0.50%"
"Mar 23, 2021","4,372.25","4,350.00","4,403.00","4,322.10","665.24K","0.42%"
"Mar 22, 2021","4,353.95","4,276.90","4,367.95","4,268.25","867.30K","1.86%"
"Mar 19, 2021","4,274.45","4,210.00","4,305.35","4,135.00","1.41M","1.46%"
"Mar 18, 2021","4,212.75","4,370.00","4,378.50","4,195.05","1.21M","-3.29%"
"Mar 17, 2021","4,355.85","4,449.70","4,465.00","4,344.30","953.97K","-2.11%"
"Mar 16, 2021","4,449.70","4,380.10","4,466.70","4,365.00","935.73K","2.47%"
"Mar 15, 2021","4,342.25","4,460.00","4,462.20","4,285.00","921.76K","-1.90%"
"Mar 12, 2021","4,426.50","4,520.00","4,529.95","4,403.10","687.85K","-1.64%"
"Mar 10, 2021","4,500.40","4,496.00","4,519.85","4,456.05","629.96K","1.17%"
"Mar 09, 2021","4,448.30","4,500.95","4,520.00","4,416.50","543.12K","-0.98%"
"Mar 08, 2021","4,492.25","4,500.00","4,522.00","4,463.00","556.42K","-0.01%"
"Mar 05, 2021","4,492.50","4,550.00","4,560.00","4,484.00","826.37K","-1.80%"
"Mar 04, 2021","4,575.05","4,482.00","4,583.35","4,444.00","1.47M","1.61%"
"Mar 03, 2021","4,502.55","4,465.00","4,515.75","4,426.00","850.61K","2.22%"
