"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","1,904.35","1,906.00","1,918.90","1,895.35","5.46M","-0.11%"
"Apr 22, 2021","1,906.40","1,892.25","1,914.45","1,876.70","6.69M","0.28%"
"Apr 20, 2021","1,901.15","1,910.50","1,919.00","1,890.45","7.94M","-0.03%"
"Apr 19, 2021","1,901.70","1,904.00","1,916.40","1,890.00","8.53M","-1.57%"
"Apr 16, 2021","1,932.10","1,936.60","1,949.90","1,926.45","7.23M","-0.63%"
"Apr 15, 2021","1,944.30","1,926.30","1,961.00","1,913.00","9.10M","0.65%"
"Apr 13, 2021","1,931.80","1,924.00","1,940.60","1,917.85","8.96M","1.08%"
"Apr 12, 2021","1,911.15","1,959.00","1,961.40","1,900.25","9.65M","-3.58%"
"Apr 09, 2021","1,982.05","1,998.45","2,006.35","1,980.00","6.48M","-1.16%"
"Apr 08, 2021","2,005.35","2,011.00","2,022.00","1,993.00","7.09M","0.12%"
"Apr 07, 2021","2,002.85","2,000.00","2,046.90","1,993.30","11.20M","0.93%"
"Apr 06, 2021","1,984.30","2,004.00","2,004.95","1,969.00","6.47M","-0.42%"
"Apr 05, 2021","1,992.60","2,024.95","2,025.00","1,962.10","6.86M","-1.45%"
"Apr 01, 2021","2,021.85","2,018.00","2,030.00","2,003.15","5.41M","0.94%"
"Mar 31, 2021","2,003.10","2,018.00","2,049.90","1,999.00","7.50M","-1.29%"
"Mar 30, 2021","2,029.30","2,008.00","2,048.90","1,991.55","9.43M","1.74%"
"Mar 26, 2021","1,994.65","2,012.00","2,013.70","1,973.70","9.31M","0.16%"
"Mar 25, 2021","1,991.45","2,054.00","2,054.00","1,985.00","10.15M","-2.73%"
"Mar 24, 2021","2,047.30","2,079.75","2,079.75","2,040.40","7.76M","-1.93%"
"Mar 23, 2021","2,087.50","2,061.95","2,109.70","2,056.00","8.04M","1.22%"
"Mar 22, 2021","2,062.40","2,071.00","2,074.00","2,033.20","8.57M","-0.94%"
"Mar 19, 2021","2,082.00","1,991.00","2,095.85","1,982.80","19.28M","3.63%"
"Mar 18, 2021","2,009.10","2,072.90","2,084.80","2,001.00","9.53M","-2.25%"
"Mar 17, 2021","2,055.35","2,098.05","2,103.00","2,035.10","8.87M","-2.15%"
"Mar 16, 2021","2,100.60","2,114.00","2,126.00","2,095.50","6.40M","-0.39%"
"Mar 15, 2021","2,108.90","2,140.05","2,148.90","2,080.50","7.71M","-1.34%"
"Mar 12, 2021","2,137.60","2,195.00","2,206.40","2,123.90","7.78M","-2.03%"
"Mar 10, 2021","2,181.95","2,207.00","2,215.10","2,170.25","5.32M","-0.42%"
"Mar 09, 2021","2,191.05","2,200.00","2,213.80","2,146.60","6.99M","-0.00%"
