"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","93.10","95.00","96.70","90.75","72.84M","-1.01%"
"Apr 22, 2021","94.05","89.50","94.50","89.00","56.29M","5.67%"
"Apr 20, 2021","89.00","90.50","92.15","87.70","36.04M","-0.17%"
"Apr 19, 2021","89.15","87.25","89.50","85.35","60.73M","-2.67%"
"Apr 16, 2021","91.60","93.80","94.50","91.05","39.29M","-1.29%"
"Apr 15, 2021","92.80","92.00","95.35","89.90","120.11M","2.32%"
"Apr 13, 2021","90.70","85.35","91.70","85.35","64.32M","7.08%"
"Apr 12, 2021","84.70","91.90","91.95","83.45","97.08M","-10.23%"
"Apr 09, 2021","94.35","96.75","98.00","92.30","70.23M","-1.31%"
"Apr 08, 2021","95.60","91.35","98.50","91.35","124.23M","6.46%"
"Apr 07, 2021","89.80","91.50","92.30","89.25","48.07M","-1.37%"
"Apr 06, 2021","91.05","91.90","93.40","89.15","134.29M","1.56%"
"Apr 05, 2021","89.65","86.50","90.00","83.55","149.91M","6.92%"
"Apr 01, 2021","83.85","79.65","84.40","79.55","87.56M","6.41%"
"Mar 31, 2021","78.80","79.15","80.15","78.00","30.54M","-0.44%"
"Mar 30, 2021","79.15","78.45","81.00","78.00","90.70M","3.13%"
"Mar 26, 2021","76.75","73.80","77.50","73.05","105.96M","6.23%"
"Mar 25, 2021","72.25","71.05","72.90","67.60","80.46M","2.48%"
"Mar 24, 2021","70.50","71.80","71.95","69.80","30.04M","-2.49%"
"Mar 23, 2021","72.30","73.70","74.35","72.00","19.09M","-1.43%"
"Mar 22, 2021","73.35","73.00","74.10","72.20","21.56M","-0.20%"
"Mar 19, 2021","73.50","70.65","74.65","67.10","51.64M","3.89%"
"Mar 18, 2021","70.75","73.20","75.80","69.55","46.50M","-1.94%"
"Mar 17, 2021","72.15","75.00","75.40","71.70","31.21M","-3.86%"
"Mar 16, 2021","75.05","77.60","78.30","74.65","55.03M","-2.15%"
"Mar 15, 2021","76.70","72.95","77.35","71.60","61.68M","5.28%"
"Mar 12, 2021","72.85","73.75","75.75","72.15","52.51M","-0.21%"
"Mar 10, 2021","73.00","71.80","73.75","70.80","36.38M","2.38%"
"Mar 09, 2021","71.30","75.15","75.50","69.70","42.20M","-4.10%"
"Mar 08, 2021","74.35","73.10","75.35","72.35","41.47M","3.12%"
"Mar 05, 2021","72.10","75.95","76.10","69.40","65.13M","-5.63%"
"Mar 04, 2021","76.40","76.90","77.75","75.00","46.20M","-2.61%"
"Mar 03, 2021","78.45","79.00","81.15","78.25","47.04M","-0.44%"
"Mar 02, 2021","78.80","78.95","81.50","77.50","94.78M","0.51%"
"Mar 01, 2021","78.40","77.50","79.50","74.75","80.97M","2.42%"
"Feb 26, 2021","76.55","71.95","77.50","71.05","169.80M","4.58%"
"Feb 25, 2021","73.20","72.25","73.90","72.05","61.93M","2.52%"
"Feb 24, 2021","71.40","71.40","73.65","71.10","97.88M","1.20%"
"Feb 23, 2021","70.55","67.50","71.20","66.90","100.27M","5.61%"
"Feb 22, 2021","66.80","65.25","68.70","65.05","53.11M","2.30%"
"Feb 19, 2021","65.30","67.00","68.50","63.25","44.99M","-2.39%"
"Feb 18, 2021","66.90","65.00","67.90","64.40","56.02M","3.56%"
"Feb 17, 2021","64.60","64.50","65.90","63.65","27.76M","-0.23%"
"Feb 16, 2021","64.75","62.75","66.40","62.75","53.65M","3.27%"
"Feb 15, 2021","62.70","65.50","65.70","62.40","24.80M","-3.17%"
"Feb 12, 2021","64.75","67.00","67.25","64.40","26.21M","-3.21%"
"Feb 11, 2021","66.90","66.40","67.55","66.10","21.65M","0.30%"
"Feb 10, 2021","66.70","68.25","69.75","66.05","125.53M","-0.07%"
"Feb 09, 2021","66.75","68.00","68.85","65.55","64.69M","-1.40%"
"Feb 08, 2021","67.70","65.80","68.20","64.75","49.94M","4.07%"
"Feb 05, 2021","65.05","65.00","65.90","62.25","53.27M","0.93%"
"Feb 04, 2021","64.45","63.40","64.85","63.00","35.95M","1.34%"
"Feb 03, 2021","63.60","61.65","64.55","61.40","54.06M","4.26%"
