"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","336.45","331.65","339.90","331.65","44.22M","-0.06%"
"Apr 22, 2021","336.65","326.00","337.65","323.30","49.11M","2.17%"
"Apr 20, 2021","329.50","335.10","339.90","326.70","41.30M","-0.50%"
"Apr 19, 2021","331.15","327.15","332.05","321.30","53.30M","-2.57%"
"Apr 16, 2021","339.90","343.00","345.50","338.65","37.77M","-0.82%"
"Apr 15, 2021","342.70","342.10","347.55","336.10","52.99M","0.50%"
"Apr 13, 2021","341.00","332.00","342.25","330.50","49.77M","3.69%"
"Apr 12, 2021","328.85","344.00","344.00","322.55","75.50M","-6.84%"
"Apr 09, 2021","353.00","354.40","364.50","351.20","46.47M","-0.73%"
"Apr 08, 2021","355.60","361.00","363.30","354.30","33.37M","-0.82%"
"Apr 07, 2021","358.55","351.25","363.20","347.60","48.02M","2.28%"
"Apr 06, 2021","350.55","355.70","357.00","349.30","44.15M","-0.85%"
"Apr 05, 2021","353.55","367.50","369.20","349.05","51.74M","-4.61%"
"Apr 01, 2021","370.65","367.70","371.90","363.10","31.88M","1.74%"
"Mar 31, 2021","364.30","360.30","367.85","357.95","38.65M","0.97%"
"Mar 30, 2021","360.80","360.10","364.30","356.30","39.41M","1.01%"
"Mar 26, 2021","357.20","360.00","362.00","354.55","40.72M","0.56%"
"Mar 25, 2021","355.20","360.00","360.85","345.20","57.50M","-1.29%"
"Mar 24, 2021","359.85","368.50","369.05","358.65","42.32M","-3.45%"
"Mar 23, 2021","372.70","368.70","377.95","367.05","41.03M","1.55%"
"Mar 22, 2021","367.00","372.00","372.80","363.50","28.46M","-1.12%"
"Mar 19, 2021","371.15","363.95","372.90","357.25","60.31M","1.10%"
"Mar 18, 2021","367.10","371.50","375.00","361.10","39.41M","-0.29%"
"Mar 17, 2021","368.15","378.20","379.65","366.05","33.14M","-2.75%"
"Mar 16, 2021","378.55","385.60","387.85","376.10","38.20M","-1.39%"
"Mar 15, 2021","383.90","382.50","386.00","369.35","42.72M","0.73%"
"Mar 12, 2021","381.10","391.70","393.20","377.50","35.34M","-1.70%"
"Mar 10, 2021","387.70","391.10","393.00","385.70","22.68M","0.03%"
