"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","3,109.50","3,105.00","3,119.00","3,091.05","1.62M","-0.30%"
"Apr 22, 2021","3,118.80","3,148.00","3,148.00","3,105.25","1.99M","-0.82%"
"Apr 20, 2021","3,144.55","3,225.00","3,225.35","3,126.35","3.14M","-0.55%"
"Apr 19, 2021","3,161.80","3,169.00","3,189.00","3,135.10","2.68M","-1.04%"
"Apr 16, 2021","3,195.15","3,229.00","3,247.00","3,182.60","3.22M","-0.74%"
"Apr 15, 2021","3,218.95","3,160.30","3,237.25","3,087.45","6.06M","3.70%"
"Apr 13, 2021","3,104.05","3,214.00","3,214.00","3,073.05","8.65M","-4.39%"
"Apr 12, 2021","3,246.55","3,322.25","3,338.10","3,213.20","3.79M","-2.28%"
"Apr 09, 2021","3,322.25","3,354.00","3,354.35","3,308.00","2.91M","0.15%"
"Apr 08, 2021","3,317.35","3,270.00","3,335.00","3,266.05","2.58M","1.40%"
"Apr 07, 2021","3,271.40","3,259.00","3,277.55","3,234.80","2.49M","0.21%"
"Apr 06, 2021","3,264.70","3,275.00","3,275.00","3,230.00","2.29M","0.80%"
"Apr 05, 2021","3,238.90","3,171.00","3,263.00","3,151.00","5.32M","2.33%"
"Apr 01, 2021","3,165.00","3,191.10","3,215.00","3,145.00","4.29M","-0.40%"
"Mar 31, 2021","3,177.85","3,155.00","3,205.00","3,132.00","3.53M","0.61%"
"Mar 30, 2021","3,158.55","3,083.00","3,188.45","3,060.90","4.69M","2.99%"
"Mar 26, 2021","3,066.80","3,090.65","3,118.00","3,043.05","3.70M","0.06%"
"Mar 25, 2021","3,064.85","3,112.20","3,130.85","3,050.00","3.18M","-1.80%"
"Mar 24, 2021","3,121.10","3,111.20","3,152.30","3,111.15","2.21M","-0.68%"
"Mar 23, 2021","3,142.60","3,140.00","3,169.00","3,122.85","3.31M","0.41%"
"Mar 22, 2021","3,129.65","3,048.70","3,139.45","3,018.65","2.82M","2.60%"
"Mar 19, 2021","3,050.20","3,030.00","3,099.00","3,005.00","5.78M","0.45%"
"Mar 18, 2021","3,036.50","3,125.95","3,146.45","2,987.05","3.66M","-2.46%"
"Mar 17, 2021","3,112.95","3,105.00","3,155.00","3,085.30","3.84M","0.09%"
"Mar 16, 2021","3,110.05","3,060.00","3,141.00","3,060.00","4.89M","1.43%"
"Mar 15, 2021","3,066.15","3,041.00","3,099.00","3,041.00","3.10M","0.27%"
"Mar 12, 2021","3,057.95","3,075.00","3,117.00","3,041.35","2.94M","-0.42%"
"Mar 10, 2021","3,070.95","3,075.00","3,093.20","3,060.00","3.05M","0.66%"
"Mar 09, 2021","3,050.95","3,006.95","3,066.90","2,992.10","1.94M","1.46%"
"Mar 08, 2021","3,006.95","3,016.00","3,033.00","2,996.00","2.00M","-0.04%"
"Mar 05, 2021","3,008.05","3,016.10","3,063.20","2,996.60","3.20M","-1.37%"
"Mar 04, 2021","3,049.70","3,023.00","3,081.45","3,016.05","3.92M","-0.31%"
"Mar 03, 2021","3,059.10","3,035.00","3,064.00","2,996.90","3.51M","1.75%"
"Mar 02, 2021","3,006.35","2,960.00","3,025.00","2,948.00","3.31M","2.81%"
"Mar 01, 2021","2,924.20","2,926.00","2,965.00","2,901.80","3.27M","1.03%"
"Feb 26, 2021","2,894.30","2,960.00","2,972.35","2,880.00","5.55M","-3.37%"
"Feb 25, 2021","2,995.30","2,974.00","3,029.90","2,968.45","4.22M","1.60%"
"Feb 24, 2021","2,948.10","2,972.00","3,003.35","2,921.15","3.77M","-1.08%"
