"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","475.70","483.55","487.35","474.35","13.60M","-2.25%"
"Apr 22, 2021","486.65","471.60","494.50","471.60","42.62M","3.52%"
"Apr 20, 2021","470.10","476.00","477.55","467.80","17.73M","-0.56%"
"Apr 19, 2021","472.75","463.00","477.95","461.10","43.81M","0.76%"
"Apr 16, 2021","469.20","441.70","473.65","436.00","109.36M","8.94%"
"Apr 15, 2021","430.70","418.90","434.45","415.00","26.76M","2.80%"
"Apr 13, 2021","418.95","432.00","437.55","412.60","20.42M","-3.16%"
"Apr 12, 2021","432.60","450.00","450.10","429.40","15.09M","-3.89%"
"Apr 09, 2021","450.10","442.90","451.35","440.00","11.70M","1.81%"
"Apr 08, 2021","442.10","441.95","445.95","440.00","12.92M","0.94%"
"Apr 07, 2021","438.00","425.00","439.00","423.40","13.87M","2.54%"
"Apr 06, 2021","427.15","427.95","428.90","422.35","8.32M","0.40%"
"Apr 05, 2021","425.45","416.45","427.90","416.20","21.22M","2.17%"
"Apr 01, 2021","416.40","418.85","422.85","414.35","7.60M","0.54%"
"Mar 31, 2021","414.15","419.80","419.80","413.35","7.45M","-0.94%"
"Mar 30, 2021","418.10","405.00","420.45","405.00","13.17M","3.52%"
"Mar 26, 2021","403.90","404.80","407.70","400.65","9.03M","1.06%"
"Mar 25, 2021","399.65","410.70","411.70","397.75","12.74M","-2.76%"
"Mar 24, 2021","411.00","411.35","415.45","409.20","5.14M","-1.08%"
"Mar 23, 2021","415.50","417.70","423.40","412.70","11.58M","0.25%"
"Mar 22, 2021","414.45","411.05","416.25","410.20","6.62M","0.96%"
"Mar 19, 2021","410.50","408.95","413.65","399.45","16.88M","0.09%"
"Mar 18, 2021","410.15","423.25","424.15","404.30","10.08M","-2.26%"
"Mar 17, 2021","419.65","429.00","435.50","417.70","12.13M","-2.25%"
"Mar 16, 2021","429.30","427.25","434.95","425.65","10.67M","0.69%"
"Mar 15, 2021","426.35","424.80","428.60","417.80","7.52M","0.27%"
"Mar 12, 2021","425.20","431.50","432.80","422.10","8.96M","-0.35%"
"Mar 10, 2021","426.70","426.10","430.70","423.00","17.29M","1.79%"
"Mar 09, 2021","419.20","419.80","422.80","410.05","11.91M","0.55%"
"Mar 08, 2021","416.90","425.10","425.15","415.55","12.35M","-0.94%"
"Mar 05, 2021","420.85","440.00","440.00","417.00","43.93M","-4.09%"
"Mar 04, 2021","438.80","428.90","444.30","427.50","12.96M","0.76%"
"Mar 03, 2021","435.50","433.00","436.65","428.25","8.78M","1.18%"
"Mar 02, 2021","430.40","419.70","433.10","418.25","14.88M","3.86%"
"Mar 01, 2021","414.40","411.00","418.70","409.20","6.42M","1.00%"
"Feb 26, 2021","410.30","417.95","419.85","408.00","11.73M","-2.61%"
"Feb 25, 2021","421.30","423.10","429.00","420.45","9.11M","-0.43%"
"Feb 24, 2021","423.10","417.70","425.80","414.75","5.06M","1.83%"
"Feb 23, 2021","415.50","419.70","426.00","414.30","8.99M","-0.76%"
"Feb 22, 2021","418.70","430.70","432.85","416.00","10.67M","-2.62%"
"Feb 19, 2021","429.95","433.15","435.75","426.10","8.48M","-0.69%"
"Feb 18, 2021","432.95","430.30","436.65","429.35","8.39M","0.64%"
"Feb 17, 2021","430.20","435.90","439.00","428.50","7.39M","-1.68%"
"Feb 16, 2021","437.55","446.00","447.80","433.80","12.45M","-0.49%"
"Feb 15, 2021","439.70","444.60","444.90","436.80","7.84M","-0.52%"
"Feb 12, 2021","442.00","440.00","449.20","439.60","19.28M","1.14%"
"Feb 11, 2021","437.00","439.00","440.50","433.40","9.24M","-0.46%"
"Feb 10, 2021","439.00","442.00","444.15","435.00","10.61M","-0.08%"
"Feb 09, 2021","439.35","440.25","451.75","435.20","29.47M","0.93%"
"Feb 08, 2021","435.30","430.35","437.70","426.30","12.52M","2.29%"
"Feb 05, 2021","425.55","432.00","433.40","420.55","8.68M","-1.01%"
"Feb 04, 2021","429.90","433.50","436.90","428.25","7.19M","-0.83%"
"Feb 03, 2021","433.50","430.20","439.95","430.20","9.90M","1.20%"
"Feb 02, 2021","428.35","428.00","435.55","423.65","13.31M","1.63%"
"Feb 01, 2021","421.50","416.10","423.80","408.20","15.08M","0.86%"
"Jan 29, 2021","417.90","437.40","437.70","415.55","15.63M","-3.24%"
"Jan 28, 2021","431.90","443.25","448.60","427.30","14.81M","-3.26%"
"Jan 27, 2021","446.45","438.00","454.75","437.25","29.59M","2.10%"
"Jan 25, 2021","437.25","445.15","451.00","435.15","7.38M","-1.69%"
"Jan 22, 2021","444.75","447.45","452.00","440.45","11.40M","-0.24%"
"Jan 21, 2021","445.80","451.60","453.45","442.30","15.91M","0.19%"
"Jan 20, 2021","444.95","434.00","447.85","433.00","24.42M","3.42%"
"Jan 19, 2021","430.25","433.00","439.55","427.70","15.68M","-0.30%"
"Jan 18, 2021","431.55","441.00","445.00","429.10","21.51M","-1.60%"
"Jan 15, 2021","438.55","454.75","459.40","436.60","25.31M","-3.48%"
"Jan 14, 2021","454.35","452.00","466.00","430.00","71.55M","-1.01%"
"Jan 13, 2021","459.00","461.00","467.45","452.80","29.19M","0.28%"
"Jan 12, 2021","457.70","447.95","460.75","442.40","22.13M","2.44%"
"Jan 11, 2021","446.80","436.00","451.00","435.00","47.33M","3.86%"
"Jan 08, 2021","430.20","407.50","432.65","407.25","40.99M","5.77%"
"Jan 07, 2021","406.75","412.25","413.00","403.85","12.34M","0.09%"
"Jan 06, 2021","406.40","405.00","417.40","403.30","22.49M","0.02%"
"Jan 05, 2021","406.30","394.10","409.80","393.50","25.16M","2.50%"
"Jan 04, 2021","396.40","390.00","397.95","387.80","9.76M","2.14%"
"Jan 01, 2021","388.10","385.05","390.75","385.05","5.04M","0.48%"
"Dec 31, 2020","386.25","381.20","387.60","381.20","6.39M","0.48%"
"Dec 30, 2020","384.40","385.00","386.60","382.80","7.19M","-0.16%"
"Dec 29, 2020","385.00","384.00","390.50","383.10","11.46M","0.55%"
"Dec 28, 2020","382.90","383.45","386.40","382.00","4.73M","0.18%"
"Dec 24, 2020","382.20","386.45","386.70","378.65","12.24M","-0.87%"
"Dec 23, 2020","385.55","374.00","387.60","371.70","44.87M","5.86%"
"Dec 22, 2020","364.20","354.00","365.70","349.45","8.19M","2.90%"
"Dec 21, 2020","353.95","362.50","367.45","348.35","9.67M","-2.64%"
"Dec 18, 2020","363.55","358.95","365.80","357.50","17.40M","1.86%"
"Dec 17, 2020","356.90","358.40","359.25","355.50","4.17M","-0.42%"
"Dec 16, 2020","358.40","353.90","358.95","353.20","6.67M","1.62%"
"Dec 15, 2020","352.70","349.30","353.90","347.50","7.23M","0.96%"
"Dec 14, 2020","349.35","353.50","354.55","347.10","11.50M","-1.17%"
"Dec 11, 2020","353.50","357.40","360.00","352.65","5.86M","-0.67%"
"Dec 10, 2020","355.90","356.20","358.00","352.75","6.90M","-1.00%"
"Dec 09, 2020","359.50","367.75","367.75","357.50","18.14M","-1.15%"
"Dec 08, 2020","363.70","360.30","365.00","358.40","11.81M","1.46%"
"Dec 07, 2020","358.45","362.00","362.75","357.50","8.39M","-0.65%"
"Dec 04, 2020","360.80","361.10","362.40","359.00","7.43M","0.14%"
"Dec 03, 2020","360.30","364.00","364.00","358.00","10.70M","0.39%"
"Dec 02, 2020","358.90","354.45","360.30","354.20","9.43M","1.71%"
